# Simulation: FLAMINGO Jet (aka. L1000N1800 - HYDRO_JETS_published)
# Reference: Schaye et al. (2023) - arXiv:2306.04024
# Webpage: https://flamingo.strw.leidenuniv.nl/
#
# Matter power spectrum suppression
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = dimensionless
# 
#  (0)         (1)             (2)
#   z           k        P(k)/P(k)_DMO
  1.500     0.008018        0.999243
  1.500     0.014017        0.999269
  1.500     0.019693        0.999253
  1.500     0.025513        0.999263
  1.500     0.032029        0.999278
  1.500     0.038122        0.999285
  1.500     0.043982        0.999311
  1.500     0.050265        0.999316
  1.500     0.056549        0.999344
  1.500     0.062832        0.999364
  1.500     0.069115        0.999382
  1.500     0.075398        0.999419
  1.500     0.081681        0.999457
  1.500     0.087965        0.999440
  1.500     0.094248        0.999528
  1.500     0.100531        0.999507
  1.500     0.106814        0.999500
  1.500     0.113097        0.999531
  1.500     0.119381        0.999590
  1.500     0.125664        0.999608
  1.500     0.131947        0.999648
  1.500     0.138230        0.999716
  1.500     0.144513        0.999672
  1.500     0.150796        0.999729
  1.500     0.157080        0.999763
  1.500     0.163363        0.999785
  1.500     0.169646        0.999859
  1.500     0.175929        0.999847
  1.500     0.182212        0.999930
  1.500     0.188496        0.999882
  1.500     0.194779        0.999935
  1.500     0.201062        0.999968
  1.500     0.207345        0.999994
  1.500     0.213628        1.000097
  1.500     0.219911        1.000063
  1.500     0.226195        1.000055
  1.500     0.232478        1.000142
  1.500     0.238761        1.000133
  1.500     0.245044        1.000165
  1.500     0.251327        1.000178
  1.500     0.257611        1.000150
  1.500     0.263894        1.000219
  1.500     0.270177        1.000190
  1.500     0.276460        1.000270
  1.500     0.282743        1.000202
  1.500     0.289027        1.000267
  1.500     0.295310        1.000261
  1.500     0.301593        1.000280
  1.500     0.307876        1.000261
  1.500     0.314159        1.000222
  1.500     0.320442        1.000281
  1.500     0.326726        1.000242
  1.500     0.333009        1.000182
  1.500     0.339292        1.000211
  1.500     0.345575        1.000191
  1.500     0.351858        1.000203
  1.500     0.358142        1.000321
  1.500     0.364425        1.000222
  1.500     0.370708        1.000171
  1.500     0.376991        1.000139
  1.500     0.383274        1.000089
  1.500     0.389557        1.000073
  1.500     0.395841        1.000032
  1.500     0.402124        1.000048
  1.500     0.408407        0.999913
  1.500     0.414690        0.999867
  1.500     0.420973        0.999899
  1.500     0.427257        0.999891
  1.500     0.433540        0.999877
  1.500     0.439823        0.999763
  1.500     0.446106        0.999633
  1.500     0.452389        0.999605
  1.500     0.458673        0.999545
  1.500     0.464956        0.999518
  1.500     0.471239        0.999422
  1.500     0.477522        0.999481
  1.500     0.483805        0.999240
  1.500     0.490088        0.999281
  1.500     0.496372        0.999189
  1.500     0.502655        0.999045
  1.500     0.508938        0.999082
  1.500     0.515221        0.998875
  1.500     0.521504        0.998828
  1.500     0.527788        0.998679
  1.500     0.534071        0.998629
  1.500     0.540354        0.998506
  1.500     0.546637        0.998489
  1.500     0.552920        0.998274
  1.500     0.559203        0.998198
  1.500     0.565487        0.998121
  1.500     0.578053        0.997952
  1.500     0.603186        0.997581
  1.500     0.628319        0.997077
  1.500     0.653451        0.996658
  1.500     0.678584        0.996141
  1.500     0.703717        0.995604
  1.500     0.728849        0.994609
  1.500     0.753982        0.994387
  1.500     0.779115        0.993569
  1.500     0.804248        0.992573
  1.500     0.829380        0.992303
  1.500     0.854513        0.991521
  1.500     0.879646        0.991249
  1.500     0.904779        0.990208
  1.500     0.929911        0.989194
  1.500     0.955044        0.988511
  1.500     0.980177        0.987966
  1.500     1.032568        0.986479
  1.500     1.089321        0.984591
  1.500     1.149193        0.982974
  1.500     1.212356        0.981166
  1.500     1.278990        0.979213
  1.500     1.349287        0.977288
  1.500     1.423448        0.975373
  1.500     1.501684        0.973297
  1.500     1.584221        0.946136
  1.500     1.671294        0.969814
  1.500     1.763153        0.967683
  1.500     1.860061        0.965474
  1.500     1.962295        0.963882
  1.500     2.070149        0.962276
  1.500     2.183930        0.961265
  1.500     2.303965        0.960558
  1.500     2.430597        0.960289
  1.500     2.564190        0.958576
  1.500     2.705125        0.958683
  1.500     2.853806        0.958283
  1.500     3.010659        0.960666
  1.500     3.176133        0.958232
  1.500     3.350703        0.960959
  1.500     3.534867        0.962783
  1.500     3.729153        0.962627
  1.500     3.934118        0.967035
  1.500     4.150348        0.967092
  1.500     4.378463        0.971397
  1.500     4.619115        0.976154
  1.500     4.872995        0.979315
  1.500     5.140828        0.984623
  1.500     5.423383        0.991734
  1.500     5.721467        1.000783
  1.500     6.035935        1.008060
  1.500     6.367687        1.016415
  1.500     6.717673        1.027988
  1.500     7.086895        1.038294
  1.500     7.476411        1.051590
  1.500     7.887335        1.066481
  1.500     8.320846        1.082527
  1.500     8.778183        1.099109
  1.500     9.260656        1.109625
  1.500     9.769648        1.126992
  1.500    10.306615        1.170547
  1.500    10.873096        1.191865
  1.500    11.470712        1.209938
  1.500    12.101174        1.231605
  1.500    12.766289        1.274025
  1.500    13.467960        1.303241
  1.500    14.208197        1.360692
  1.500    14.989120        1.402946
  1.500    15.812964        1.442108
  1.500    16.682089        1.492968
  1.500    17.598983        1.555283
  1.500    18.566273        1.609676
  1.500    19.586727        1.676855
  1.500    20.663269        1.758689
  1.500    21.798980        1.816488
  1.500    22.997114        1.923829
  1.500    24.261100        2.041744
  1.500    25.594558        2.133803
  1.500    27.001307        2.280235
  1.500    28.485375        2.408930
  1.500    30.051011        2.588693
  1.500    31.702699        2.735070
  1.500    33.445169        2.958090
  1.500    35.283409        3.163239
  1.500    37.222685        3.453100
  1.500    39.268548        3.685699
  1.500    41.426858        3.787341
  1.500    43.703794        4.200289
  1.500    46.105878        4.742948
  1.500    48.639987        5.376975
  1.500    51.313377        4.897815
  1.500    54.133705        5.584672
  1.500    57.109045        6.037112
  1.500    60.247919        6.524143
  1.500    63.559314        7.401688
  1.500    67.052713        6.701435
  1.500    70.738118        9.458521
  1.500    74.626084        7.355630
  1.500    78.727744        9.613132
  1.500    83.054842       12.392591
  1.500    87.619770       10.472315
  1.500    92.435599       13.116567
  1.500    97.516119       12.202825
  1.500   102.875879       37.607574
  1.500   108.530227       12.244076
  1.500   114.495353       10.005336
  1.500   120.788340       11.486448
  1.500   127.427207       11.939940
  1.500   134.430964       10.143320
  1.500   141.819668       10.060192
  1.500   149.614476        3.130190
  1.500   157.837708        4.280288
  1.500   166.512913      -12.148659
  1.500   175.664931       42.345513
  1.500   185.319969       -1.231864
  1.500   195.505676       -1.646388
  1.500   206.251218       17.322092
  1.500   217.587365       -2.612381
  1.500   229.546578        2.271751
  1.500   242.163104       -1.964121
  1.500   255.473069       -2.555870
  1.500   269.514588        1.063256
  1.500   284.327867        4.136379
  1.500   299.955327        0.660718
  1.500   316.441715       -3.782898
  1.500   333.834242       -0.509244
  1.500   352.182710       -1.012608
  1.500   371.539663       -0.364002
  1.500   391.960527        0.827690
  1.500   413.503780       20.788778
  1.500   436.231111        0.683354
  1.500   460.207600       -2.273389
  1.500   485.501904        2.342753
  1.500   512.186454        9.928035
  1.500   540.337662        1.582838
  1.500   570.036139        1.637580
