# Simulation: FLAMINGO L1_m9 (aka. L1000N1800 - HYDRO_FIDUCIAL)
# Reference: Schaye et al. (2023) - arXiv:2306.04024
# Webpage: https://flamingo.strw.leidenuniv.nl/
#
# Matter power spectrum suppression
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = dimensionless
# 
#  (0)         (1)             (2)
#   z           k        P(k)/P(k)_DMO
  1.500     0.008018        0.999870
  1.500     0.014017        0.999876
  1.500     0.019693        0.999875
  1.500     0.025513        0.999882
  1.500     0.032029        0.999891
  1.500     0.038122        0.999912
  1.500     0.043982        0.999924
  1.500     0.050265        0.999940
  1.500     0.056549        0.999966
  1.500     0.062832        0.999985
  1.500     0.069115        1.000005
  1.500     0.075398        1.000035
  1.500     0.081681        1.000063
  1.500     0.087965        1.000080
  1.500     0.094248        1.000106
  1.500     0.100531        1.000140
  1.500     0.106814        1.000164
  1.500     0.113097        1.000204
  1.500     0.119381        1.000231
  1.500     0.125664        1.000257
  1.500     0.131947        1.000300
  1.500     0.138230        1.000337
  1.500     0.144513        1.000362
  1.500     0.150796        1.000410
  1.500     0.157080        1.000425
  1.500     0.163363        1.000465
  1.500     0.169646        1.000508
  1.500     0.175929        1.000537
  1.500     0.182212        1.000578
  1.500     0.188496        1.000589
  1.500     0.194779        1.000628
  1.500     0.201062        1.000661
  1.500     0.207345        1.000687
  1.500     0.213628        1.000744
  1.500     0.219911        1.000724
  1.500     0.226195        1.000751
  1.500     0.232478        1.000783
  1.500     0.238761        1.000831
  1.500     0.245044        1.000846
  1.500     0.251327        1.000839
  1.500     0.257611        1.000857
  1.500     0.263894        1.000868
  1.500     0.270177        1.000902
  1.500     0.276460        1.000911
  1.500     0.282743        1.000894
  1.500     0.289027        1.000913
  1.500     0.295310        1.000909
  1.500     0.301593        1.000910
  1.500     0.307876        1.000901
  1.500     0.314159        1.000869
  1.500     0.320442        1.000882
  1.500     0.326726        1.000873
  1.500     0.333009        1.000833
  1.500     0.339292        1.000825
  1.500     0.345575        1.000846
  1.500     0.351858        1.000773
  1.500     0.358142        1.000787
  1.500     0.364425        1.000722
  1.500     0.370708        1.000699
  1.500     0.376991        1.000723
  1.500     0.383274        1.000622
  1.500     0.389557        1.000565
  1.500     0.395841        1.000525
  1.500     0.402124        1.000495
  1.500     0.408407        1.000412
  1.500     0.414690        1.000300
  1.500     0.420973        1.000314
  1.500     0.427257        1.000239
  1.500     0.433540        1.000193
  1.500     0.439823        1.000125
  1.500     0.446106        1.000026
  1.500     0.452389        0.999921
  1.500     0.458673        0.999830
  1.500     0.464956        0.999809
  1.500     0.471239        0.999658
  1.500     0.477522        0.999618
  1.500     0.483805        0.999448
  1.500     0.490088        0.999414
  1.500     0.496372        0.999308
  1.500     0.502655        0.999152
  1.500     0.508938        0.999056
  1.500     0.515221        0.998980
  1.500     0.521504        0.998876
  1.500     0.527788        0.998685
  1.500     0.534071        0.998612
  1.500     0.540354        0.998432
  1.500     0.546637        0.998335
  1.500     0.552920        0.998211
  1.500     0.559203        0.998055
  1.500     0.565487        0.997869
  1.500     0.578053        0.997585
  1.500     0.603186        0.997010
  1.500     0.628319        0.996473
  1.500     0.653451        0.995602
  1.500     0.678584        0.994918
  1.500     0.703717        0.994189
  1.500     0.728849        0.993336
  1.500     0.753982        0.992406
  1.500     0.779115        0.991654
  1.500     0.804248        0.990663
