# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       1120.2737   0.00021996522
3.000     0.031415927       2658.4954    0.0041759548
3.000     0.047123890       1351.5669    0.0071652478
3.000     0.062831853       1148.4009     0.014431232
3.000     0.078539816       856.67673     0.021026010
3.000     0.094247780       641.89969     0.027223929
3.000      0.10995574       528.47779     0.035591865
3.000      0.12566371       480.59680     0.048314860
3.000      0.14137167       340.69903     0.048767255
3.000      0.15707963       292.96069     0.057522698
3.000      0.17278760       259.05065     0.067700618
3.000      0.18849556       236.93055     0.080388642
3.000      0.20420352       205.92999     0.088834069
3.000      0.21991149       182.43099     0.098290740
3.000      0.23561945       160.45258      0.10632867
3.000      0.25132741       148.61091      0.11951999
3.000      0.26703538       127.41004      0.12290804
3.000      0.28274334       114.47590      0.13108755
3.000      0.29845130       103.17346      0.13895004
3.000      0.31415927       93.386143      0.14669061
3.000      0.32986723       85.475571      0.15542819
3.000      0.34557519       77.085655      0.16116528
3.000      0.36128316       73.060686      0.17454087
3.000      0.37699112       66.149988      0.17955330
3.000      0.39269908       61.799576      0.18959873
3.000      0.40840704       58.643482      0.20238097
3.000      0.42411501       54.324544      0.20995067
3.000      0.43982297       51.184773      0.22061994
3.000      0.45553093       47.510183      0.22751529
3.000      0.47123890       44.956270      0.23833286
3.000      0.48694686       41.348272      0.24186462
3.000      0.50265482       39.694213      0.25539184
3.000      0.51836279       37.282307      0.26307191
3.000      0.53407075       35.479825      0.27380925
3.000      0.54977871       33.829635      0.28479432
3.000      0.56548668       32.493572      0.29766985
3.000      0.58119464       30.448661      0.30283304
3.000      0.59690260       28.886077      0.31122125
3.000      0.61261057       27.584112      0.32127928
3.000      0.62831853       26.256121      0.32994414
3.000      0.64402649       25.052805      0.33902976
3.000      0.65973446       23.675182      0.34440630
3.000      0.67544242       23.170795      0.36172306
3.000      0.69115038       22.208565      0.37145688
3.000      0.70685835       21.628984      0.38699339
3.000      0.72256631       20.181468      0.38570577
3.000      0.73827427       19.828823      0.40422241
3.000      0.75398224       19.019833      0.41300975
3.000      0.76969020       18.521539      0.42785361
3.000      0.78539816       17.706253      0.43457682
3.000      0.80110613       17.077247      0.44479335
