# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       956.35246   0.00018777937
3.000     0.031415927       2400.2737    0.0037703411
3.000     0.047123890       1235.4447    0.0065496330
3.000     0.062831853       1047.4446     0.013162577
3.000     0.078539816       814.78900     0.019997931
3.000     0.094247780       623.68054     0.026451228
3.000      0.10995574       500.25559     0.033691160
3.000      0.12566371       454.99972     0.045741560
3.000      0.14137167       335.44381     0.048015030
3.000      0.15707963       290.29164     0.056998629
3.000      0.17278760       248.82630     0.065028574
3.000      0.18849556       228.62528     0.077570731
3.000      0.20420352       205.59941     0.088691461
3.000      0.21991149       182.04162     0.098080953
3.000      0.23561945       156.87275      0.10395638
3.000      0.25132741       145.35211      0.11689911
3.000      0.26703538       127.20295      0.12270827
3.000      0.28274334       114.31021      0.13089782
3.000      0.29845130       101.92563      0.13726951
3.000      0.31415927       92.293215      0.14497384
3.000      0.32986723       85.379236      0.15525301
3.000      0.34557519       77.183598      0.16137006
3.000      0.36128316       72.720337      0.17372778
3.000      0.37699112       65.879478      0.17881904
3.000      0.39269908       61.824363      0.18967477
3.000      0.40840704       58.768470      0.20281231
3.000      0.42411501       54.363980      0.21010308
3.000      0.43982297       51.287318      0.22106194
3.000      0.45553093       47.526630      0.22759405
3.000      0.47123890       45.080684      0.23899243
3.000      0.48694686       41.477981      0.24262334
3.000      0.50265482       39.828581      0.25625636
3.000      0.51836279       37.420826      0.26404933
3.000      0.53407075       35.654001      0.27515342
3.000      0.54977871       33.971444      0.28598815
3.000      0.56548668       32.677497      0.29935477
3.000      0.58119464       30.592256      0.30426119
3.000      0.59690260       29.063057      0.31312805
3.000      0.61261057       27.769420      0.32343761
3.000      0.62831853       26.417679      0.33197434
3.000      0.64402649       25.218897      0.34127741
3.000      0.65973446       23.857782      0.34706261
3.000      0.67544242       23.351816      0.36454901
3.000      0.69115038       22.398434      0.37463261
3.000      0.70685835       21.816782      0.39035354
3.000      0.72256631       20.348914      0.38890598
3.000      0.73827427       20.005591      0.40782593
3.000      0.75398224       19.185806      0.41661379
3.000      0.76969020       18.698148      0.43193333
3.000      0.78539816       17.871314      0.43862804
3.000      0.80110613       17.264764      0.44967741
3.000      0.81681409       16.684122      0.46062053
3.000      0.83252205       16.045019      0.46902687
3.000      0.84823002       15.597530      0.48224420
3.000      0.86393798       15.038082      0.49125889
3.000      0.87964594       14.519217      0.50065339
3.000      0.89535391       14.129118      0.51377089
3.000      0.91106187       13.830194      0.52983682
3.000      0.92676983       13.233520      0.53365588
3.000      0.94247780       12.801304      0.54292252
3.000      0.95818576       12.474508      0.55595907
3.000      0.97389372       12.273560      0.57434852
3.000      0.98960169       11.909450      0.58471365
3.000       1.0053096       11.525578      0.59324285
3.000       1.0367256       11.157104      0.62981528
3.000       1.0681415       10.257582      0.63328853
3.000       1.0995574       9.9588209      0.67070560
3.000       1.1309734       9.2446105      0.67751045
3.000       1.1623893       8.8727188      0.70596272
