# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.125     0.062831853       2639.8635     0.033173503
0.125      0.12566371       4225.7340      0.42481711
0.125      0.18849556       1787.7670      0.60657505
0.125      0.25132741       1464.2776       1.1776419
0.125      0.31415927       1067.2579       1.6764447
0.125      0.37699112       812.13341       2.2044030
0.125      0.43982297       681.56821       2.9377397
0.125      0.50265482       614.95400       3.9566028
0.125      0.56548668       522.92462       4.7904519
0.125      0.62831853       494.90925       6.2192131
0.125      0.69115038       445.23656       7.4469551
0.125      0.75398224       396.66725       8.6135056
0.125      0.81681409       386.93195       10.682540
0.125      0.87964594       360.84211       12.442601
0.125      0.94247780       333.80401       14.157129
0.125       1.0053096       318.17876       16.377251
0.125       1.0681415       300.43436       18.548390
0.125       1.1309734       264.89949       19.413708
0.125       1.1938052       258.49630       22.280503
0.125       1.2566371       236.39205       23.764721
0.125       1.3194689       232.37986       27.043708
0.125       1.3823008       221.07055       29.580723
0.125       1.4451326       207.92855       31.791242
0.125       1.5079645       195.75086       34.005352
0.125       1.5707963       189.50679       37.209571
0.125       1.6336282       182.56949       40.323489
0.125       1.6964600       170.37169       42.140394
0.125       1.7592919       160.75871       44.346410
0.125       1.8221237       153.26704       46.973469
0.125       1.8849556       147.82875       50.157113
0.125       1.9477874       138.71560       51.930232
0.125       2.0106193       136.11376       56.048221
0.125       2.0734512       130.01685       58.715307
0.125       2.1362830       125.55480       62.012599
0.125       2.1991149       117.04210       63.060309
0.125       2.2619467       111.75685       65.522662
0.125       2.3247786       107.45198       68.395801
0.125       2.3876104       103.56684       71.413673
0.125       2.4504423       99.491434       74.163357
0.125       2.5132741       96.288752       77.440009
0.125       2.5761060       90.029886       77.973698
0.125       2.6389378       86.640582       80.663878
0.125       2.7017697       83.136745       83.063121
0.125       2.7646015       80.006040       85.642762
0.125       2.8274334       76.542260       87.649348
0.125       2.8902652       74.607869       91.257380
0.125       2.9530971       71.768688       93.635049
