# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       2596.9274   0.00050990550
3.000     0.031415927       2243.9080    0.0035247225
3.000     0.047123890       1499.7681    0.0079509269
3.000     0.062831853       960.25266     0.012066891
3.000     0.078539816       870.51551     0.021365665
3.000     0.094247780       641.68347     0.027214759
3.000      0.10995574       595.10866     0.040079314
3.000      0.12566371       456.89265     0.045931859
3.000      0.14137167       369.99635     0.052960839
3.000      0.15707963       302.62178     0.059419648
3.000      0.17278760       254.79999     0.066589745
3.000      0.18849556       247.56281     0.083996084
3.000      0.20420352       195.07947     0.084153372
3.000      0.21991149       169.82372     0.091498156
3.000      0.23561945       156.80294      0.10391013
3.000      0.25132741       142.78704      0.11483615
3.000      0.26703538       125.34714      0.12091803
3.000      0.28274334       111.68500      0.12789167
3.000      0.29845130       105.49082      0.14207098
3.000      0.31415927       97.017498      0.15239473
3.000      0.32986723       84.245785      0.15319195
3.000      0.34557519       77.976711      0.16302824
3.000      0.36128316       72.085145      0.17221032
3.000      0.37699112       67.943799      0.18442230
3.000      0.39269908       63.904774      0.19605739
3.000      0.40840704       58.357770      0.20139497
3.000      0.42411501       52.525509      0.20299786
3.000      0.43982297       50.243436      0.21656253
3.000      0.45553093       47.041113      0.22526902
3.000      0.47123890       44.147979      0.23404776
3.000      0.48694686       42.028149      0.24584152
3.000      0.50265482       39.980168      0.25723167
3.000      0.51836279       37.391049      0.26383922
3.000      0.53407075       34.809100      0.26863305
3.000      0.54977871       33.249618      0.27991146
3.000      0.56548668       31.144018      0.28530674
3.000      0.58119464       30.571072      0.30405050
3.000      0.59690260       28.741486      0.30966341
3.000      0.61261057       27.723887      0.32290727
3.000      0.62831853       26.248590      0.32984951
3.000      0.64402649       25.142856      0.34024839
3.000      0.65973446       24.313325      0.35368946
3.000      0.67544242       23.354845      0.36459629
3.000      0.69115038       22.451251      0.37551602
3.000      0.70685835       21.377718      0.38249766
3.000      0.72256631       20.176520      0.38561122
3.000      0.73827427       19.603838      0.39963596
3.000      0.75398224       19.292566      0.41893207
3.000      0.76969020       18.250427      0.42159082
3.000      0.78539816       17.420923      0.42757379
3.000      0.80110613       16.938945      0.44119114
3.000      0.81681409       16.444438      0.45400324
3.000      0.83252205       15.728087      0.45976233
3.000      0.84823002       15.139748      0.46809048
3.000      0.86393798       14.841598      0.48484019
3.000      0.87964594       14.639688      0.50480749
3.000      0.89535391       13.886716      0.50495655
3.000      0.91106187       13.347460      0.51134320
3.000      0.92676983       13.216829      0.53298280
3.000      0.94247780       12.538061      0.53175800
3.000      0.95818576       12.365132      0.55108444
3.000      0.97389372       12.035072      0.56318833
3.000      0.98960169       11.558760      0.56749599
3.000       1.0053096       11.292886      0.58126576
3.000       1.0367256       10.741577      0.60635889
3.000       1.0681415       10.194829      0.62941424
3.000       1.0995574       9.6384532      0.64912951
3.000       1.1309734       9.2814735      0.68021203
3.000       1.1623893       8.8902047      0.70735400
3.000       1.1938052       8.4749790      0.73048163
3.000       1.2252211       8.1939878      0.76349995
3.000       1.2566371       7.7718442      0.78131100
3.000       1.2880530       7.4124593      0.80247917
3.000       1.3194689       7.0886347      0.82495516
3.000       1.3508848       6.8748799      0.85859896
3.000       1.3823008       6.6140652      0.88500634
3.000       1.4137167       6.4285901      0.92018078
3.000       1.4451326       6.1188367      0.93553973
3.000       1.4765485       5.9263619      0.96649946
3.000       1.5079645       5.6854258      0.98765800
3.000       1.5393804       5.4690511       1.0106950
3.000       1.5707963       5.3603335       1.0524990
3.000       1.6022123       5.2300598       1.0897755
3.000       1.6336282       5.0099558       1.1065315
3.000       1.6650441       4.8799203       1.1411959
3.000       1.6964600       4.7188249       1.1671724
3.000       1.7278760       4.5940664       1.2006190
3.000       1.7592919       4.4462511       1.2265293
3.000       1.7907078       4.3397050       1.2624223
3.000       1.8221237       4.2228961       1.2942383
3.000       1.8535397       4.1471178       1.3378958
3.000       1.8849556       4.0516445       1.3746906
3.000       1.9163715       3.8958957       1.3890462
3.000       1.9477874       3.8071679       1.4252694
3.000       1.9792034       3.7234757       1.4624804
3.000       2.0106193       3.6172244       1.4894820
3.000       2.0734512       3.4363085       1.5518289
3.000       2.1362830       3.2704169       1.6152871
3.000       2.1991149       3.1773809       1.7119193
3.000       2.2619467       3.0552887       1.7913053
3.000       2.3247786       2.9660503       1.8879633
3.000       2.3876104       2.7462097       1.8936266
3.000       2.4504423       2.7085866       2.0190469
3.000       2.5132741       2.5931999       2.0855751
3.000       2.5761060       2.4670034       2.1366392
3.000       2.6389378       2.3967593       2.2314243
3.000       2.7017697       2.3158608       2.3138099
3.000       2.7646015       2.2282185       2.3852048
3.000       2.8274334       2.1880106       2.5055140
3.000       2.8902652       2.0919042       2.5587340
3.000       2.9530971       2.0434682       2.6660686
3.000       3.0159289       1.9855494       2.7593976
3.000       3.0787608       1.9270421       2.8489794
3.000       3.1415927       1.8514310       2.9082211
3.000       3.2044245       1.7965169       2.9946889
3.000       3.2672564       1.7836572       3.1516014
3.000       3.3300882       1.7386144       3.2526755
3.000       3.3929201       1.6949116       3.3538080
3.000       3.4557519       1.6428107       3.4346736
3.000       3.5185838       1.6071369       3.5467193
3.000       3.5814156       1.5436951       3.5924932
3.000       3.6442475       1.5267938       3.7434690
3.000       3.7070793       1.4821123       3.8251371
3.000       3.7699112       1.4481978       3.9308954
3.000       3.8327430       1.4247417       4.0638297
3.000       3.8955749       1.3837410       4.1441907
3.000       3.9584067       1.3416513       4.2157142
3.000       4.0212386       1.3199296       4.3481102
3.000       4.1469023       1.2646919       4.5690553
3.000       4.2725660       1.1932527       4.7148623
3.000       4.3982297       1.1651076       5.0219225
3.000       4.5238934       1.1148658       5.2291360
3.000       4.6495571       1.0860291       5.5302721
3.000       4.7752208       1.0366243       5.7183672
3.000       4.9008845      0.99914447       5.9582945
3.000       5.0265482      0.97503169       6.2733361
3.000       5.1522120      0.92899443       6.4367188
3.000       5.2778757      0.89653584       6.6775228
3.000       5.4035394      0.85648671       6.8458258
3.000       5.5292031      0.85190117       7.2953662
3.000       5.6548668      0.82398956       7.5484729
3.000       5.7805305      0.79389530       7.7684894
3.000       5.9061942      0.77036288       8.0406059
3.000       6.0318579      0.73802473       8.2053003
3.000       6.1575216      0.71536627       8.4608998
3.000       6.2831853      0.69787470       8.7697522
3.000       6.4088490      0.68070247       9.0775302
3.000       6.5345127      0.65805121       9.3018552
3.000       6.6601764      0.64658832       9.6773247
3.000       6.7858401      0.62903743       9.9576675
3.000       6.9115038      0.61617155       10.305986
3.000       7.0371675      0.59200952       10.451837
3.000       7.1628313      0.57957888       10.790386
3.000       7.2884950      0.57457842       11.270239
3.000       7.4141587      0.55470093       11.452882
3.000       7.5398224      0.54067447       11.740578
3.000       7.6654861      0.52901234       12.071331
3.000       7.7911498      0.52798012       12.650057
3.000       7.9168135      0.50588132       12.716574
3.000       8.0424772      0.49664598       13.088404
3.000       8.2938046      0.47013045       13.587828
3.000       8.5451320      0.44469892       14.057001
3.000       8.7964594      0.43220141       14.903221
3.000       9.0477868      0.42191383       15.831465
3.000       9.2991143      0.40219360       16.384386
3.000       9.5504417      0.39212497       17.304742
3.000       9.8017691      0.37655531       17.964388
3.000       10.053096      0.36418875       18.745470
3.000       10.304424      0.35029177       19.416518
3.000       10.555751      0.34695942       20.673614
3.000       10.807079      0.33223784       21.244392
3.000       11.058406      0.32416181       22.208014
3.000       11.309734      0.31762114       23.277524
3.000       11.561061      0.30584983       23.942615
3.000       11.812388      0.29718580       24.814840
3.000       12.063716      0.29242362       26.009141
3.000       12.315043      0.28438814       26.908504
3.000       12.566371      0.27500238       27.646255
3.000       12.817698      0.26513721       28.285968
3.000       13.069025      0.25677479       29.037033
3.000       13.320353      0.25708871       30.782256
3.000       13.571680      0.24767967       31.366169
3.000       13.823008      0.24166045       32.335790
3.000       14.074335      0.23297495       32.905095
3.000       14.325663      0.22916869       34.132624
3.000       14.576990      0.22190783       34.821417
3.000       14.828317      0.22050027       36.421262
3.000       15.079645      0.21350654       37.089824
3.000       15.330972      0.20739980       37.860616
3.000       15.582300      0.20153417       38.629012
3.000       15.833627      0.19877947       39.974497
3.000       16.084954      0.19241991       40.567641
3.000       16.587609      0.19087770       44.134359
3.000       17.090264      0.17870564       45.191299
3.000       17.592919      0.16943983       46.741157
3.000       18.095574      0.16683120       50.080032
