# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       933.60783   0.00018331347
3.000     0.031415927       2392.4441    0.0037580425
3.000     0.047123890       1274.1528    0.0067548416
3.000     0.062831853       1016.5453     0.012774285
3.000     0.078539816       770.98003     0.018922697
3.000     0.094247780       630.91654     0.026758117
3.000      0.10995574       516.37767     0.034776948
3.000      0.12566371       444.31590     0.044667506
3.000      0.14137167       322.25165     0.046126719
3.000      0.15707963       291.44248     0.057224597
3.000      0.17278760       252.35152     0.065949859
3.000      0.18849556       223.88414     0.075962098
3.000      0.20420352       198.30411     0.085544414
3.000      0.21991149       179.50486     0.096714194
3.000      0.23561945       155.99329      0.10337359
3.000      0.25132741       142.08518      0.11427168
3.000      0.26703538       122.86575      0.11852432
3.000      0.28274334       111.28069      0.12742869
3.000      0.29845130       99.781680      0.13438213
3.000      0.31415927       89.689932      0.14088462
3.000      0.32986723       82.412519      0.14985836
3.000      0.34557519       74.592658      0.15595310
3.000      0.36128316       70.416450      0.16822383
3.000      0.37699112       63.599885      0.17263146
3.000      0.39269908       59.491106      0.18251643
3.000      0.40840704       56.471370      0.19488493
3.000      0.42411501       52.256205      0.20195706
3.000      0.43982297       49.254185      0.21229859
3.000      0.45553093       45.560230      0.21817742
3.000      0.47123890       43.162272      0.22882209
3.000      0.48694686       39.672073      0.23205977
3.000      0.50265482       38.048579      0.24480386
3.000      0.51836279       35.704715      0.25194009
3.000      0.53407075       33.994838      0.26234912
3.000      0.54977871       32.344185      0.27228909
3.000      0.56548668       31.111807      0.28501166
3.000      0.58119464       29.069785      0.28911916
3.000      0.59690260       27.609068      0.29746263
3.000      0.61261057       26.347695      0.30687841
3.000      0.62831853       25.049602      0.31478259
3.000      0.64402649       23.898831      0.32341348
3.000      0.65973446       22.580411      0.32848050
3.000      0.67544242       22.077247      0.34465150
3.000      0.69115038       21.175690      0.35418118
3.000      0.70685835       20.605348      0.36867814
3.000      0.72256631       19.211428      0.36716649
3.000      0.73827427       18.878316      0.38484576
3.000      0.75398224       18.082512      0.39265611
3.000      0.76969020       17.619808      0.40702333
3.000      0.78539816       16.830016      0.41307074
3.000      0.80110613       16.244148      0.42309448
3.000      0.81681409       15.686211      0.43306988
3.000      0.83252205       15.072672      0.44060329
3.000      0.84823002       14.646753      0.45284808
3.000      0.86393798       14.110433      0.46095476
3.000      0.87964594       13.625117      0.46982294
3.000      0.89535391       13.247319      0.48170644
3.000      0.91106187       12.961615      0.49656145
3.000      0.92676983       12.389596      0.49962373
3.000      0.94247780       11.976848      0.50795608
3.000      0.95818576       11.665683      0.51991167
3.000      0.97389372       11.475858      0.53701961
3.000      0.98960169       11.130834      0.54648624
3.000       1.0053096       10.760406      0.55385804
3.000       1.0367256       10.412137      0.58776207
3.000       1.0681415       9.5578512      0.59008815
3.000       1.0995574       9.2778824      0.62484582
3.000       1.1309734       8.6075137      0.63081949
3.000       1.1623893       8.2456950      0.65607323
3.000       1.1938052       8.0172764      0.69103099
3.000       1.2252211       7.6800034      0.71560788
3.000       1.2566371       7.3558007      0.73948574
3.000       1.2880530       7.0020848      0.75805168
3.000       1.3194689       6.6846875      0.77794493
3.000       1.3508848       6.5203401      0.81432074
3.000       1.3823008       6.2430770      0.83536562
3.000       1.4137167       6.0887567      0.87153742
3.000       1.4451326       5.7434435      0.87814398
3.000       1.4765485       5.5226495      0.90066011
3.000       1.5079645       5.4708262      0.95037829
3.000       1.5393804       5.2192884      0.96453816
3.000       1.5707963       5.0877450      0.99897639
3.000       1.6022123       4.8357448       1.0076130
3.000       1.6336282       4.6743701       1.0324119
3.000       1.6650441       4.5368365       1.0609639
3.000       1.6964600       4.4700682       1.1056440
3.000       1.7278760       4.3662145       1.1410719
3.000       1.7592919       4.1747598       1.1516366
3.000       1.7907078       4.1142472       1.1968365
3.000       1.8221237       3.9728919       1.2176167
3.000       1.8535397       3.8755454       1.2502842
3.000       1.8849556       3.7581734       1.2751182
3.000       1.9163715       3.6557221       1.3034145
3.000       1.9477874       3.5874559       1.3430170
3.000       1.9792034       3.4599313       1.3589673
3.000       2.0106193       3.3904401       1.3960979
3.000       2.0734512       3.1699752       1.4315534
3.000       2.1362830       3.1327859       1.5473100
3.000       2.1991149       2.9594840       1.5945201
3.000       2.2619467       2.8170346       1.6516178
3.000       2.3247786       2.7591303       1.7562537
3.000       2.3876104       2.5960515       1.7900863
3.000       2.4504423       2.4919688       1.8575747
3.000       2.5132741       2.4241336       1.9496039
3.000       2.5761060       2.3352985       2.0225712
3.000       2.6389378       2.2259704       2.0724169
3.000       2.7017697       2.1428225       2.1409249
3.000       2.7646015       2.1259167       2.2756954
3.000       2.8274334       2.0156242       2.3081124
3.000       2.8902652       1.9814767       2.4236635
3.000       2.9530971       1.8851465       2.4595097
3.000       3.0159289       1.8634518       2.5897136
3.000       3.0787608       1.7734271       2.6218717
3.000       3.1415927       1.7437983       2.7391520
3.000       3.2044245       1.7006487       2.8348822
3.000       3.2672564       1.6548457       2.9240001
3.000       3.3300882       1.5813348       2.9584300
3.000       3.3929201       1.5372899       3.0419140
3.000       3.4557519       1.5052828       3.1471397
