# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       933.62602   0.00018331704
3.000     0.031415927       2392.4065    0.0037579833
3.000     0.047123890       1274.1409    0.0067547786
3.000     0.062831853       1016.5419     0.012774242
3.000     0.078539816       770.95566     0.018922099
3.000     0.094247780       630.88728     0.026756876
3.000      0.10995574       516.35401     0.034775355
3.000      0.12566371       444.27928     0.044663824
3.000      0.14137167       322.21732     0.046121805
3.000      0.15707963       291.41069     0.057218355
3.000      0.17278760       252.30633     0.065938049
3.000      0.18849556       223.84088     0.075947420
3.000      0.20420352       198.25656     0.085523905
3.000      0.21991149       179.46375     0.096692044
3.000      0.23561945       155.94993      0.10334485
3.000      0.25132741       142.04215      0.11423707
3.000      0.26703538       122.81791      0.11847817
3.000      0.28274334       111.23037      0.12737106
3.000      0.29845130       99.737771      0.13432299
3.000      0.31415927       89.647976      0.14081871
3.000      0.32986723       82.365785      0.14977337
3.000      0.34557519       74.545328      0.15585415
3.000      0.36128316       70.362051      0.16809387
3.000      0.37699112       63.546510      0.17248658
3.000      0.39269908       59.435289      0.18234518
3.000      0.40840704       56.417217      0.19469805
3.000      0.42411501       52.201158      0.20174432
3.000      0.43982297       49.202028      0.21207379
3.000      0.45553093       45.508532      0.21792984
3.000      0.47123890       43.107193      0.22853009
3.000      0.48694686       39.614359      0.23172218
3.000      0.50265482       37.992557      0.24444342
3.000      0.51836279       35.647918      0.25153932
3.000      0.53407075       33.940291      0.26192816
3.000      0.54977871       32.286800      0.27180599
3.000      0.56548668       31.054461      0.28448632
3.000      0.58119464       29.009516      0.28851975
3.000      0.59690260       27.551803      0.29684566
3.000      0.61261057       26.291305      0.30622162
3.000      0.62831853       24.989410      0.31402619
3.000      0.64402649       23.839271      0.32260748
3.000      0.65973446       22.522272      0.32763475
3.000      0.67544242       22.015747      0.34369141
3.000      0.69115038       21.113719      0.35314468
3.000      0.70685835       20.543937      0.36757936
3.000      0.72256631       19.151747      0.36602587
3.000      0.73827427       18.816252      0.38358056
3.000      0.75398224       18.019527      0.39128842
3.000      0.76969020       17.559011      0.40561889
3.000      0.78539816       16.769162      0.41157715
3.000      0.80110613       16.179774      0.42141779
3.000      0.81681409       15.622948      0.43132328
3.000      0.83252205       15.011327      0.43881006
3.000      0.84823002       14.585648      0.45095883
3.000      0.86393798       14.047608      0.45890241
3.000      0.87964594       13.562316      0.46765743
3.000      0.89535391       13.184294      0.47941469
3.000      0.91106187       12.899142      0.49416809
3.000      0.92676983       12.327682      0.49712701
3.000      0.94247780       11.914780      0.50532369
3.000      0.95818576       11.602826      0.51711029
3.000      0.97389372       11.414674      0.53415646
3.000      0.98960169       11.068567      0.54342914
3.000       1.0053096       10.700016      0.55074966
3.000       1.0367256       10.351876      0.58436039
3.000       1.0681415       9.4985915      0.58642954
3.000       1.0995574       9.2140061      0.62054389
3.000       1.1309734       8.5472294      0.62640143
3.000       1.1623893       8.1862010      0.65133956
3.000       1.1938052       7.9549875      0.68566214
3.000       1.2252211       7.6166797      0.70970749
3.000       1.2566371       7.2973319      0.73360782
3.000       1.2880530       6.9432514      0.75168233
3.000       1.3194689       6.6280044      0.77134832
3.000       1.3508848       6.4596637      0.80674290
3.000       1.3823008       6.1840284      0.82746452
3.000       1.4137167       6.0306856      0.86322519
3.000       1.4451326       5.6863636      0.86941674
3.000       1.4765485       5.4687701      0.89187321
3.000       1.5079645       5.4160857      0.94086890
3.000       1.5393804       5.1643608      0.95438740
3.000       1.5707963       5.0324958      0.98812824
3.000       1.6022123       4.7816942      0.99635065
3.000       1.6336282       4.6217501       1.0207899
3.000       1.6650441       4.4840861       1.0486279
3.000       1.6964600       4.4189245       1.0929939
3.000       1.7278760       4.3128565       1.1271273
3.000       1.7592919       4.1243333       1.1377261
3.000       1.7907078       4.0631458       1.1819711
3.000       1.8221237       3.9229807       1.2023199
3.000       1.8535397       3.8253660       1.2340959
3.000       1.8849556       3.7087612       1.2583530
3.000       1.9163715       3.6073449       1.2861661
3.000       1.9477874       3.5385996       1.3247269
3.000       1.9792034       3.4125843       1.3403707
3.000       2.0106193       3.3442034       1.3770588
3.000       2.0734512       3.1242547       1.4109061
3.000       2.1362830       3.0868835       1.5246384
3.000       2.1991149       2.9150358       1.5705722
3.000       2.2619467       2.7756532       1.6273560
3.000       2.3247786       2.7189711       1.7306914
3.000       2.3876104       2.5542627       1.7612711
3.000       2.4504423       2.4504400       1.8266181
3.000       2.5132741       2.3836827       1.9170713
3.000       2.5761060       2.2961640       1.9886774
3.000       2.6389378       2.1901256       2.0390447
3.000       2.7017697       2.1061471       2.1042819
3.000       2.7646015       2.0884245       2.2355618
3.000       2.8274334       1.9799518       2.2672636
3.000       2.8902652       1.9446942       2.3786727
3.000       2.9530971       1.8508950       2.4148226
3.000       3.0159289       1.8288805       2.5416686
3.000       3.0787608       1.7395422       2.5717756
3.000       3.1415927       1.7098444       2.6858173
3.000       3.2044245       1.6683917       2.7811116
3.000       3.2672564       1.6211685       2.8644949
3.000       3.3300882       1.5491915       2.8982950
3.000       3.3929201       1.5072015       2.9823765
3.000       3.4557519       1.4750084       3.0838441
3.000       3.5185838       1.4634547       3.2296335
3.000       3.5814156       1.3926966       3.2410890
3.000       3.6442475       1.3725370       3.3652545
3.000       3.7070793       1.3350959       3.4457072
3.000       3.7699112       1.3198365       3.5824799
3.000       3.8327430       1.2779279       3.6450687
3.000       3.8955749       1.2444234       3.7269459
3.000       3.9584067       1.2210038       3.8366176
