# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       1124.3060   0.00022075697
3.000     0.031415927       2720.0440    0.0042726351
3.000     0.047123890       1403.8947    0.0074426601
3.000     0.062831853       1097.3768     0.013790043
3.000     0.078539816       815.12579     0.020006197
3.000     0.094247780       658.09575     0.027910828
3.000      0.10995574       531.89959     0.035822317
3.000      0.12566371       453.09300     0.045549877
3.000      0.14137167       326.90760     0.046793167
3.000      0.15707963       293.51709     0.057631945
3.000      0.17278760       252.67138     0.066033451
3.000      0.18849556       223.07225     0.075686631
3.000      0.20420352       196.53216     0.084780031
3.000      0.21991149       177.49455     0.095631073
3.000      0.23561945       153.57614      0.10177179
3.000      0.25132741       139.57882      0.11225595
3.000      0.26703538       120.32254      0.11607098
3.000      0.28274334       108.81993      0.12461084
3.000      0.29845130       97.280278      0.13101333
3.000      0.31415927       87.230916      0.13702200
3.000      0.32986723       79.943454      0.14536863
3.000      0.34557519       72.188940      0.15092758
3.000      0.36128316       68.092508      0.16267197
3.000      0.37699112       61.309331      0.16641413
3.000      0.39269908       57.262461      0.17567903
3.000      0.40840704       54.225072      0.18713287
3.000      0.42411501       50.111329      0.19366766
3.000      0.43982297       47.096574      0.20299872
3.000      0.45553093       43.633522      0.20895086
3.000      0.47123890       41.216662      0.21850756
3.000      0.48694686       37.813851      0.22119020
3.000      0.50265482       36.201286      0.23291841
3.000      0.51836279       33.938631      0.23947823
3.000      0.53407075       32.242991      0.24882956
3.000      0.54977871       30.659719      0.25810843
3.000      0.56548668       29.418068      0.26949551
3.000      0.58119464       27.482963      0.27333712
3.000      0.59690260       26.043254      0.28059241
3.000      0.61261057       24.789803      0.28873325
3.000      0.62831853       23.570331      0.29619351
3.000      0.64402649       22.459005      0.30392888
3.000      0.65973446       21.166157      0.30790715
3.000      0.67544242       20.665074      0.32260584
3.000      0.69115038       19.791359      0.33102709
3.000      0.70685835       19.236276      0.34418221
3.000      0.72256631       17.929541      0.34266721
3.000      0.73827427       17.587895      0.35853976
3.000      0.75398224       16.835977      0.36558798
3.000      0.76969020       16.357980      0.37787468
3.000      0.78539816       15.620579      0.38338668
3.000      0.80110613       15.034934      0.39159933
3.000      0.81681409       14.517562      0.40080544
3.000      0.83252205       13.916783      0.40681445
3.000      0.84823002       13.502495      0.41746994
3.000      0.86393798       13.010364      0.42501808
3.000      0.87964594       12.559603      0.43308174
3.000      0.89535391       12.170877      0.44256426
3.000      0.91106187       11.897430      0.45579236
3.000      0.92676983       11.371369      0.45856263
3.000      0.94247780       10.964658      0.46502760
3.000      0.95818576       10.654335      0.47483830
3.000      0.97389372       10.492013      0.49097997
3.000      0.98960169       10.146717      0.49816944
3.000       1.0053096       9.8153009      0.50521174
3.000       1.0367256       9.4740124      0.53480523
3.000       1.0681415       8.6568213      0.53445984
3.000       1.0995574       8.3798881      0.56436780
3.000       1.1309734       7.7611228      0.56878998
3.000       1.1623893       7.4310604      0.59125638
3.000       1.1938052       7.1930986      0.61999285
3.000       1.2252211       6.8849693      0.64152813
3.000       1.2566371       6.5998675      0.66349105
3.000       1.2880530       6.2435677      0.67593396
3.000       1.3194689       5.9671069      0.69443494
3.000       1.3508848       5.7880459      0.72286503
3.000       1.3823008       5.5557272      0.74339360
3.000       1.4137167       5.4069771      0.77394829
3.000       1.4451326       5.0896189      0.77817745
3.000       1.4765485       4.8813315      0.79607091
3.000       1.5079645       4.8094253      0.83548138
3.000       1.5393804       4.5897065      0.84818978
3.000       1.5707963       4.4639593      0.87649636
3.000       1.6022123       4.2529793      0.88618354
