# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       1124.3309   0.00022076186
3.000     0.031415927       2720.1016    0.0042727256
3.000     0.047123890       1403.9272    0.0074428327
3.000     0.062831853       1097.4484     0.013790943
3.000     0.078539816       815.22271     0.020008576
3.000     0.094247780       658.18255     0.027914510
3.000      0.10995574       532.01222     0.035829902
3.000      0.12566371       453.22251     0.045562896
3.000      0.14137167       327.01860     0.046809055
3.000      0.15707963       293.62727     0.057653580
3.000      0.17278760       252.80156     0.066067473
3.000      0.18849556       223.20485     0.075731623
3.000      0.20420352       196.67598     0.084842072
3.000      0.21991149       177.63607     0.095707320
3.000      0.23561945       153.71495      0.10186378
3.000      0.25132741       139.73211      0.11237923
3.000      0.26703538       120.46823      0.11621152
3.000      0.28274334       108.97873      0.12479269
3.000      0.29845130       97.436824      0.13122416
3.000      0.31415927       87.382988      0.13726088
3.000      0.32986723       80.103144      0.14565900
3.000      0.34557519       72.342710      0.15124907
3.000      0.36128316       68.243513      0.16303272
3.000      0.37699112       61.470330      0.16685113
3.000      0.39269908       57.410639      0.17613363
3.000      0.40840704       54.386410      0.18768965
3.000      0.42411501       50.269816      0.19428017
3.000      0.43982297       47.265931      0.20372869
3.000      0.45553093       43.797203      0.20973469
3.000      0.47123890       41.382778      0.21938821
3.000      0.48694686       37.979282      0.22215788
3.000      0.50265482       36.372074      0.23401726
3.000      0.51836279       34.104403      0.24064794
3.000      0.53407075       32.412119      0.25013477
3.000      0.54977871       30.831383      0.25955358
3.000      0.56548668       29.583646      0.27101236
3.000      0.58119464       27.654813      0.27504629
3.000      0.59690260       26.212560      0.28241654
3.000      0.61261057       24.963972      0.29076184
3.000      0.62831853       23.741547      0.29834508
3.000      0.64402649       22.628911      0.30622815
3.000      0.65973446       21.334386      0.31035440
3.000      0.67544242       20.839976      0.32533626
3.000      0.69115038       19.960018      0.33384805
3.000      0.70685835       19.408739      0.34726800
3.000      0.72256631       18.092824      0.34578787
3.000      0.73827427       17.755173      0.36194983
3.000      0.75398224       17.001477      0.36918177
3.000      0.76969020       16.522682      0.38167935
3.000      0.78539816       15.787041      0.38747229
3.000      0.80110613       15.199106      0.39587535
3.000      0.81681409       14.685934      0.40545390
3.000      0.83252205       14.079587      0.41157352
3.000      0.84823002       13.663988      0.42246295
3.000      0.86393798       13.170836      0.43026032
3.000      0.87964594       12.719659      0.43860082
3.000      0.89535391       12.326939      0.44823906
3.000      0.91106187       12.056528      0.46188743
3.000      0.92676983       11.525206      0.46476629
3.000      0.94247780       11.120405      0.47163307
3.000      0.95818576       10.807301      0.48165563
3.000      0.97389372       10.644004      0.49809246
3.000      0.98960169       10.300645      0.50572681
3.000       1.0053096       9.9633041      0.51282973
3.000       1.0367256       9.6248879      0.54332211
3.000       1.0681415       8.7994778      0.54326725
3.000       1.0995574       8.5266709      0.57425331
3.000       1.1309734       7.8964839      0.57871020
3.000       1.1623893       7.5636437      0.60180545
3.000       1.1938052       7.3267549      0.63151305
3.000       1.2252211       7.0126266      0.65342299
3.000       1.2566371       6.7245510      0.67602560
3.000       1.2880530       6.3660252      0.68919132
3.000       1.3194689       6.0823829      0.70785044
3.000       1.3508848       5.9051874      0.73749474
3.000       1.3823008       5.6684568      0.75847757
3.000       1.4137167       5.5246902      0.79079762
3.000       1.4451326       5.2014617      0.79527765
3.000       1.4765485       4.9899125      0.81377882
3.000       1.5079645       4.9172352      0.85420984
3.000       1.5393804       4.6969946      0.86801690
3.000       1.5707963       4.5689682      0.89711480
3.000       1.6022123       4.3487768      0.90614464
3.000       1.6336282       4.1857548      0.92449315
3.000       1.6650441       4.0620972      0.94994356
3.000       1.6964600       3.9938018      0.98784241
3.000       1.7278760       3.8976069       1.0186054
3.000       1.7592919       3.7144690       1.0246621
3.000       1.7907078       3.6670369       1.0667428
3.000       1.8221237       3.5366577       1.0839191
3.000       1.8535397       3.4445370       1.1112372
3.000       1.8849556       3.3444092       1.1347313
3.000       1.9163715       3.2435657       1.1564639
3.000       1.9477874       3.1704928       1.1869207
3.000       1.9792034       3.0567625       1.2006135
3.000       2.0106193       3.0024228       1.2363221
3.000       2.0734512       2.8090036       1.2685395
3.000       2.1362830       2.7456688       1.3561095
3.000       2.1991149       2.6077902       1.4050334
3.000       2.2619467       2.4699163       1.4481035
3.000       2.3247786       2.4037094       1.5300196
3.000       2.3876104       2.2593122       1.5578904
3.000       2.4504423       2.1699601       1.6175415
3.000       2.5132741       2.1024573       1.6908965
3.000       2.5761060       2.0274887       1.7559813
3.000       2.6389378       1.9213086       1.7887715
3.000       2.7017697       1.8452967       1.8436626
3.000       2.7646015       1.8336698       1.9628586
3.000       2.8274334       1.7343449       1.9860166
3.000       2.8902652       1.7092761       2.0907186
3.000       2.9530971       1.6136438       2.1052860
3.000       3.0159289       1.5951195       2.2168014
3.000       3.0787608       1.5118414       2.2351380
3.000       3.1415927       1.4977297       2.3526283
3.000       3.2044245       1.4513302       2.4192828
3.000       3.2672564       1.4045209       2.4816933
3.000       3.3300882       1.3456321       2.5174672
3.000       3.3929201       1.3079236       2.5880551
3.000       3.4557519       1.2759981       2.6677674
3.000       3.5185838       1.2624903       2.7861340
3.000       3.5814156       1.2014599       2.7960422
3.000       3.6442475       1.1843457       2.9038376
3.000       3.7070793       1.1454201       2.9561787
3.000       3.7699112       1.1338811       3.0777342
3.000       3.8327430       1.0954924       3.1247029
3.000       3.8955749       1.0684910       3.2000428
3.000       3.9584067       1.0390973       3.2650341
3.000       4.0212386       1.0203459       3.3612220
3.000       4.1469023      0.97150896       3.5098494
3.000       4.2725660      0.94090875       3.7177836
3.000       4.3982297      0.88541233       3.8163619
3.000       4.5238934      0.85647335       4.0171792
3.000       4.6495571      0.81457113       4.1479550
3.000       4.7752208      0.77997096       4.3025812
3.000       4.9008845      0.76467118       4.5600373
3.000       5.0265482      0.73437451       4.7249522
3.000       5.1522120      0.68984341       4.7797143
3.000       5.2778757      0.66608408       4.9610862
3.000       5.4035394      0.64611487       5.1643415
3.000       5.5292031      0.62276453       5.3331248
3.000       5.6548668      0.60634133       5.5546227
3.000       5.7805305      0.58619379       5.7360715
3.000       5.9061942      0.57171021       5.9671832
3.000       6.0318579      0.55833251       6.2074964
3.000       6.1575216      0.53126194       6.2834302
3.000       6.2831853      0.51197063       6.4336127
3.000       6.4088490      0.49470134       6.5971060
3.000       6.5345127      0.48279069       6.8244674
3.000       6.6601764      0.46360273       6.9386255
3.000       6.7858401      0.45307152       7.1721258
3.000       6.9115038      0.44824807       7.4973251
3.000       7.0371675      0.43778564       7.7290380
3.000       7.1628313      0.42125741       7.8428150
3.000       7.2884950      0.41460097       8.1323142
3.000       7.4141587      0.39330055       8.1204565
3.000       7.5398224      0.38546775       8.3703120
3.000       7.6654861      0.37479699       8.5523497
3.000       7.7911498      0.36983294       8.8609545
3.000       7.9168135      0.35948494       9.0365406
3.000       8.0424772      0.34695888       9.1436117
3.000       8.2938046      0.33617058       9.7160863
3.000       8.5451320      0.31597374       9.9879780
3.000       8.7964594      0.30099734       10.379027
3.000       9.0477868      0.29911459       11.223671
3.000       9.2991143      0.27456196       11.184984
3.000       9.5504417      0.27097513       11.958317
3.000       9.8017691      0.26825574       12.797722
3.000       10.053096      0.25346105       13.046110
3.000       10.304424      0.24253372       13.443537
3.000       10.555751      0.23699330       14.121271
3.000       10.807079      0.23654224       15.125297
3.000       11.058406      0.22892386       15.683353
3.000       11.309734      0.22018598       16.136786
3.000       11.561061      0.21501257       16.831669
3.000       11.812388      0.21109078       17.625956
3.000       12.063716      0.20283900       18.041183
3.000       12.315043      0.19673207       18.614580
3.000       12.566371      0.19188155       19.290037
3.000       12.817698      0.18881145       20.143210
3.000       13.069025      0.18226582       20.611286
3.000       13.320353      0.17789789       21.300424
3.000       13.571680      0.17370623       21.998168
3.000       13.823008      0.17247504       23.078318
3.000       14.074335      0.16688293       23.570339
3.000       14.325663      0.15889376       23.665803
3.000       14.576990      0.15625142       24.518719
3.000       14.828317      0.15373921       25.393966
3.000       15.079645      0.15107099       26.243676
3.000       15.330972      0.14715400       26.862808
3.000       15.582300      0.14323032       27.453636
3.000       15.833627      0.13888909       27.930559
3.000       16.084954      0.13595199       28.662583
3.000       16.587609      0.12766080       29.517476
3.000       17.090264      0.12413479       31.391357
3.000       17.592919      0.11606733       32.017983
3.000       18.095574      0.11168581       33.526278
3.000       18.598229      0.10928907       35.617359
3.000       19.100883      0.10327375       36.460329
3.000       19.603538      0.10062334       38.403638
3.000       20.106193     0.094708293       38.998491
3.000       20.608848     0.093504349       41.463237
3.000       21.111503     0.088665063       42.264937
