# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       933.71895   0.00018333529
3.000     0.031415927       2392.4985    0.0037581279
3.000     0.047123890       1274.0292    0.0067541861
3.000     0.062831853       1016.5686     0.012774578
3.000     0.078539816       771.09389     0.018925491
3.000     0.094247780       630.90958     0.026757822
3.000      0.10995574       516.42312     0.034780009
3.000      0.12566371       444.40312     0.044676274
3.000      0.14137167       322.30644     0.046134562
3.000      0.15707963       291.44660     0.057225407
3.000      0.17278760       252.38137     0.065957660
3.000      0.18849556       223.89922     0.075967216
3.000      0.20420352       198.33011     0.085555629
3.000      0.21991149       179.52146     0.096723138
3.000      0.23561945       155.99839      0.10337696
3.000      0.25132741       142.10087      0.11428430
3.000      0.26703538       122.87400      0.11853229
3.000      0.28274334       111.30124      0.12745222
3.000      0.29845130       99.809672      0.13441982
3.000      0.31415927       89.699932      0.14090032
3.000      0.32986723       82.425021      0.14988109
3.000      0.34557519       74.608936      0.15598713
3.000      0.36128316       70.424679      0.16824349
3.000      0.37699112       63.614722      0.17267173
3.000      0.39269908       59.506748      0.18256442
3.000      0.40840704       56.483831      0.19492793
3.000      0.42411501       52.266328      0.20199619
3.000      0.43982297       49.273566      0.21238213
3.000      0.45553093       45.575886      0.21825239
3.000      0.47123890       43.184558      0.22894024
3.000      0.48694686       39.688964      0.23215858
3.000      0.50265482       38.067726      0.24492705
3.000      0.51836279       35.723510      0.25207271
3.000      0.53407075       34.014403      0.26250011
3.000      0.54977871       32.361992      0.27243900
3.000      0.56548668       31.129625      0.28517489
3.000      0.58119464       29.088133      0.28930165
3.000      0.59690260       27.627756      0.29766399
3.000      0.61261057       26.366997      0.30710323
3.000      0.62831853       25.069282      0.31502989
3.000      0.64402649       23.916070      0.32364677
3.000      0.65973446       22.601370      0.32878541
3.000      0.67544242       22.098553      0.34498412
3.000      0.69115038       21.195027      0.35450462
3.000      0.70685835       20.628145      0.36908602
3.000      0.72256631       19.232013      0.36755990
3.000      0.73827427       18.898783      0.38526300
3.000      0.75398224       18.103759      0.39311748
3.000      0.76969020       17.640536      0.40750215
3.000      0.78539816       16.852741      0.41362849
3.000      0.80110613       16.265999      0.42366360
3.000      0.81681409       15.709428      0.43371086
3.000      0.83252205       15.095463      0.44126951
3.000      0.84823002       14.670025      0.45356760
3.000      0.86393798       14.133509      0.46170860
3.000      0.87964594       13.645515      0.47052630
3.000      0.89535391       13.270407      0.48254597
3.000      0.91106187       12.985457      0.49747483
3.000      0.92676983       12.413047      0.50056942
3.000      0.94247780       12.001447      0.50899937
3.000      0.95818576       11.689483      0.52097239
3.000      0.97389372       11.500404      0.53816822
3.000      0.98960169       11.155988      0.54772124
3.000       1.0053096       10.786711      0.55521202
3.000       1.0367256       10.439885      0.58932844
3.000       1.0681415       9.5842736      0.59171943
3.000       1.0995574       9.3049640      0.62666972
3.000       1.1309734       8.6345339      0.63279972
3.000       1.1623893       8.2731709      0.65825937
3.000       1.1938052       8.0449554      0.69341672
3.000       1.2252211       7.7069581      0.71811946
3.000       1.2566371       7.3826253      0.74218245
3.000       1.2880530       7.0316252      0.76124975
3.000       1.3194689       6.7128137      0.78121818
3.000       1.3508848       6.5488091      0.81787620
3.000       1.3823008       6.2718062      0.83920978
3.000       1.4137167       6.1216806      0.87625010
3.000       1.4451326       5.7737452      0.88277695
3.000       1.4765485       5.5535936      0.90570664
3.000       1.5079645       5.5040180      0.95614430
3.000       1.5393804       5.2523984      0.97065697
3.000       1.5707963       5.1213011       1.0055651
3.000       1.6022123       4.8677219       1.0142760
3.000       1.6336282       4.7068731       1.0395907
3.000       1.6650441       4.5697271       1.0686556
3.000       1.6964600       4.5044080       1.1141377
3.000       1.7278760       4.4010292       1.1501704
3.000       1.7592919       4.2090161       1.1610864
3.000       1.7907078       4.1497355       1.2071601
3.000       1.8221237       4.0076197       1.2282602
3.000       1.8535397       3.9110451       1.2617367
3.000       1.8849556       3.7942817       1.2873695
3.000       1.9163715       3.6919367       1.3163265
3.000       1.9477874       3.6231104       1.3563648
3.000       1.9792034       3.4957219       1.3730249
3.000       2.0106193       3.4259102       1.4107036
3.000       2.0734512       3.2057608       1.4477141
3.000       2.1362830       3.1702774       1.5658274
3.000       2.1991149       2.9975950       1.6150536
3.000       2.2619467       2.8554115       1.6741180
3.000       2.3247786       2.7976625       1.7807804
3.000       2.3876104       2.6351121       1.8170202
3.000       2.4504423       2.5313997       1.8869674
3.000       2.5132741       2.4639416       1.9816194
3.000       2.5761060       2.3742734       2.0563269
3.000       2.6389378       2.2652485       2.1089855
3.000       2.7017697       2.1821720       2.1802395
3.000       2.7646015       2.1651701       2.3177144
3.000       2.8274334       2.0560220       2.3543724
3.000       2.8902652       2.0219985       2.4732281
3.000       2.9530971       1.9266974       2.5137202
3.000       3.0159289       1.9042317       2.6463871
3.000       3.0787608       1.8146102       2.6827577
3.000       3.1415927       1.7851569       2.8041178
3.000       3.2044245       1.7418947       2.9036368
3.000       3.2672564       1.6965591       2.9977050
3.000       3.3300882       1.6212642       3.0331316
3.000       3.3929201       1.5788942       3.1242385
3.000       3.4557519       1.5472377       3.2348562
3.000       3.5185838       1.5362395       3.3902589
3.000       3.5814156       1.4615934       3.4014258
3.000       3.6442475       1.4443554       3.5413423
3.000       3.7070793       1.4050971       3.6263709
3.000       3.7699112       1.3914045       3.7767395
3.000       3.8327430       1.3469338       3.8418961
3.000       3.8955749       1.3130593       3.9325048
3.000       3.9584067       1.2902418       4.0541763
3.000       4.0212386       1.2587777       4.1466638
3.000       4.1469023       1.2103261       4.3726437
3.000       4.2725660       1.1702983       4.6241633
3.000       4.3982297       1.1122061       4.7939031
3.000       4.5238934       1.0737064       5.0360831
3.000       4.6495571       1.0272956       5.2311894
3.000       4.7752208      0.98160685       5.4148723
3.000       4.9008845      0.97428860       5.8100691
3.000       5.0265482      0.92750702       5.9675633
3.000       5.1522120      0.88324723       6.1197503
3.000       5.2778757      0.85873590       6.3959836
3.000       5.4035394      0.83223312       6.6519689
3.000       5.5292031      0.79944783       6.8461752
3.000       5.6548668      0.78588292       7.1993824
3.000       5.7805305      0.76143606       7.4508666
3.000       5.9061942      0.74345654       7.7597729
3.000       6.0318579      0.72375437       8.0466435
3.000       6.1575216      0.69885940       8.2656670
3.000       6.2831853      0.67960298       8.5401429
3.000       6.4088490      0.65189152       8.6933209
3.000       6.5345127      0.63484792       8.9738661
3.000       6.6601764      0.61244044       9.1662419
3.000       6.7858401      0.60497117       9.5766983
3.000       6.9115038      0.59637518       9.9748755
3.000       7.0371675      0.57600114       10.169211
3.000       7.1628313      0.56255140       10.473374
3.000       7.2884950      0.55273792       10.841842
3.000       7.4141587      0.52440804       10.827426
3.000       7.5398224      0.51982424       11.287822
3.000       7.6654861      0.50067498       11.424711
3.000       7.7911498      0.49968916       11.972224
3.000       7.9168135      0.49049036       12.329685
3.000       8.0424772      0.47301026       12.465518
3.000       8.2938046      0.45767647       13.227880
3.000       8.5451320      0.43144856       13.638155
3.000       8.7964594      0.41380335       14.268817
3.000       9.0477868      0.41489868       15.568236
3.000       9.2991143      0.39428791       16.062327
3.000       9.5504417      0.37476655       16.538703
3.000       9.8017691      0.36466492       17.397132
3.000       10.053096      0.34602917       17.810763
3.000       10.304424      0.33670293       18.663294
3.000       10.555751      0.32549915       19.394901
3.000       10.807079      0.32321702       20.667570
3.000       11.058406      0.31740345       21.745005
3.000       11.309734      0.30187921       22.123844
3.000       11.561061      0.29502128       23.094931
3.000       11.812388      0.28507669       23.803736
3.000       12.063716      0.27992930       24.897854
3.000       12.315043      0.26962071       25.511225
3.000       12.566371      0.25983232       26.121193
3.000       12.817698      0.25276530       26.966080
3.000       13.069025      0.24527736       27.736862
3.000       13.320353      0.24288752       29.081891
3.000       13.571680      0.23622838       29.915977
3.000       13.823008      0.23051128       30.843957
3.000       14.074335      0.22078324       31.183153
3.000       14.325663      0.21706686       32.330165
3.000       14.576990      0.21398993       33.578953
3.000       14.828317      0.20344733       33.604533
3.000       15.079645      0.20231030       35.144840
3.000       15.330972      0.19841267       36.220025
3.000       15.582300      0.19285127       36.964719
3.000       15.833627      0.18609530       37.423714
3.000       16.084954      0.18294194       38.569415
3.000       16.587609      0.17225548       39.828568
3.000       17.090264      0.16529646       41.800371
3.000       17.592919      0.15964453       44.039057
3.000       18.095574      0.15317824       45.981635
3.000       18.598229      0.14814773       48.281415
3.000       19.100883      0.13720607       48.439979
3.000       19.603538      0.13288792       50.717651
3.000       20.106193      0.12812723       52.759570
3.000       20.608848      0.12264565       54.385553
3.000       21.111503      0.12105471       57.704462
3.000       21.614157      0.11386471       58.247104
3.000       22.116812      0.11018901       60.391545
3.000       22.619467      0.10664663       62.526554
3.000       23.122122      0.10366375       64.920258
3.000       23.624777     0.099513260       66.474389
3.000       24.127432     0.097098146       69.089886
3.000       24.630086     0.093901048       71.078541
3.000       25.132741     0.091395081       73.504285
3.000       25.635396     0.087654170       74.810565
3.000       26.138051     0.085381875       77.242361
3.000       26.640706     0.082375822       78.905486
3.000       27.143361     0.080737735       81.797054
3.000       27.646015     0.078371585       83.893154
3.000       28.148670     0.076357581       86.277205
3.000       28.651325     0.072157874       85.978155
3.000       29.153980     0.071441370       89.683713
3.000       29.656635     0.069646689       92.031465
3.000       30.159289     0.067185490       93.370367
3.000       30.661944     0.065296579       95.358576
3.000       31.164599     0.065448527       100.35864
3.000       31.667254     0.062682876       100.84408
3.000       32.169909     0.060884147       102.68901
3.000       33.175218     0.056491403       104.49463
3.000       34.180528     0.054646164       110.55191
3.000       35.185838     0.050903727       112.33718
3.000       36.191147     0.050652232       121.63986
3.000       37.196457     0.047553738       123.98229
3.000       38.201767     0.045979081       129.86164
3.000       39.207076     0.044604439       136.18890
3.000       40.212386     0.039645168       130.59906
3.000       41.217696     0.039712861       140.88104
3.000       42.223005     0.040006440       152.56243
3.000       43.228315     0.037501991       153.47213
3.000       44.233625     0.036413549       159.65806
3.000       45.238934     0.034887653       163.63609
3.000       46.244244     0.033572846       168.20212
3.000       47.249554     0.032445694       173.38856
3.000       48.254863     0.031101692       177.04250
3.000       49.260173     0.028657268       173.53730
3.000       50.265482     0.028533535       183.58424
3.000       51.270792     0.027303749       186.42435
3.000       52.276102     0.026670321       193.02256
3.000       53.281411     0.027026514       207.10351
3.000       54.286721     0.025461816       206.36710
3.000       55.292031     0.024063179       206.06815
3.000       56.297340     0.023542841       212.81036
3.000       57.302650     0.023521320       224.21057
3.000       58.307960     0.022407635       225.03487
3.000       59.313269     0.022063674       233.24035
3.000       60.318579     0.021358640       237.46366
3.000       61.323889     0.020408941       238.44037
3.000       62.329198     0.020559323       252.20500
3.000       63.334508     0.019974799       257.08331
3.000       64.339818     0.019209473       259.19414
3.000       66.350437     0.018691514       276.59613
3.000       68.361056     0.016486999       266.83215
3.000       70.371675     0.016787798       296.38599
3.000       72.382295     0.015479939       297.39698
3.000       74.392914     0.015380798       320.80701
3.000       76.403533     0.013854707       313.04584
3.000       78.414153     0.012829681       313.37869
3.000       80.424772     0.012633110       332.92780
3.000       82.435391     0.012514381       355.15728
3.000       84.446011     0.012429438       379.19198
3.000       86.456630     0.011581947       379.18117
3.000       88.467249    0.0096025372       336.82462
3.000       90.477868     0.010119055       379.69711
3.000       92.488488    0.0087816907       351.97469
3.000       94.499107    0.0086843905       371.27244
3.000       96.509726    0.0098425099       448.21808
3.000       98.520346    0.0086145593       417.33144
3.000       100.53096    0.0092532085       476.27980
