# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       956.54458   0.00018781709
3.000     0.031415927       2400.7065    0.0037710209
3.000     0.047123890       1235.5517    0.0065502003
3.000     0.062831853       1047.6089     0.013164642
3.000     0.078539816       815.00088     0.020003131
3.000     0.094247780       623.78836     0.026455801
3.000      0.10995574       500.37764     0.033699380
3.000      0.12566371       455.14209     0.045755873
3.000      0.14137167       335.54410     0.048029385
3.000      0.15707963       290.35106     0.057010297
3.000      0.17278760       248.90509     0.065049164
3.000      0.18849556       228.68307     0.077590338
3.000      0.20420352       205.66453     0.088719551
3.000      0.21991149       182.09491     0.098109668
3.000      0.23561945       156.91540      0.10398465
3.000      0.25132741       145.40245      0.11693959
3.000      0.26703538       127.24303      0.12274694
3.000      0.28274334       114.36122      0.13095624
3.000      0.29845130       101.97681      0.13733845
3.000      0.31415927       92.330844      0.14503295
3.000      0.32986723       85.417033      0.15532174
3.000      0.34557519       77.225732      0.16145815
3.000      0.36128316       72.757096      0.17381560
3.000      0.37699112       65.917567      0.17892243
3.000      0.39269908       61.864441      0.18979773
3.000      0.40840704       58.806289      0.20294283
3.000      0.42411501       54.399334      0.21023972
3.000      0.43982297       51.328751      0.22124052
3.000      0.45553093       47.565767      0.22778147
3.000      0.47123890       45.125844      0.23923185
3.000      0.48694686       41.518903      0.24286271
3.000      0.50265482       39.870444      0.25652571
3.000      0.51836279       37.461945      0.26433948
3.000      0.53407075       35.694405      0.27546523
3.000      0.54977871       34.012082      0.28633025
3.000      0.56548668       32.717317      0.29971955
3.000      0.58119464       30.632039      0.30465686
3.000      0.59690260       29.104116      0.31357043
3.000      0.61261057       27.810566      0.32391685
3.000      0.62831853       26.458749      0.33249045
3.000      0.64402649       25.259253      0.34182353
3.000      0.65973446       23.899569      0.34767048
3.000      0.67544242       23.395319      0.36522814
3.000      0.69115038       22.440108      0.37532965
3.000      0.70685835       21.861811      0.39115922
3.000      0.72256631       20.392092      0.38973119
3.000      0.73827427       20.048400      0.40869864
3.000      0.75398224       19.230038      0.41757429
3.000      0.76969020       18.741915      0.43294438
3.000      0.78539816       17.916154      0.43972858
3.000      0.80110613       17.309183      0.45083434
3.000      0.81681409       16.730615      0.46190412
3.000      0.83252205       16.090643      0.47036055
3.000      0.84823002       15.642876      0.48364619
3.000      0.86393798       15.084512      0.49277564
3.000      0.87964594       14.563203      0.50217014
3.000      0.89535391       14.174850      0.51543384
3.000      0.91106187       13.876991      0.53162963
3.000      0.92676983       13.281353      0.53558480
3.000      0.94247780       12.848657      0.54493081
3.000      0.95818576       12.522058      0.55807826
3.000      0.97389372       12.320899      0.57656377
3.000      0.98960169       11.958510      0.58712237
3.000       1.0053096       11.574746      0.59577365
3.000       1.0367256       11.208308      0.63270571
3.000       1.0681415       10.307167      0.63634984
3.000       1.0995574       10.010508      0.67418662
3.000       1.1309734       9.2959712      0.68127453
3.000       1.1623893       8.9229458      0.70995905
3.000       1.1938052       8.6856419      0.74863924
3.000       1.2252211       8.3338000      0.77652737
3.000       1.2566371       7.9838203      0.80262116
3.000       1.2880530       7.6134196      0.82423530
3.000       1.3194689       7.2685942      0.84589834
3.000       1.3508848       7.1156284      0.88866588
3.000       1.3823008       6.8095329      0.91116122
3.000       1.4137167       6.6596384      0.95325275
3.000       1.4451326       6.2804580      0.96025083
3.000       1.4765485       6.0461927      0.98604205
3.000       1.5079645       5.9998989       1.0422875
3.000       1.5393804       5.7291023       1.0587531
3.000       1.5707963       5.5919933       1.0979853
3.000       1.6022123       5.3216267       1.1088551
3.000       1.6336282       5.1443789       1.1362211
3.000       1.6650441       5.0040887       1.1702334
3.000       1.6964600       4.9344877       1.2205153
3.000       1.7278760       4.8263803       1.2613322
3.000       1.7592919       4.6196644       1.2743666
3.000       1.7907078       4.5597367       1.3264296
3.000       1.8221237       4.4043684       1.3498562
3.000       1.8535397       4.3021598       1.3879137
3.000       1.8849556       4.1776242       1.4174345
3.000       1.9163715       4.0662843       1.4497968
3.000       1.9477874       3.9939130       1.4951802
3.000       1.9792034       3.8599269       1.5160747
3.000       2.0106193       3.7805132       1.5567202
3.000       2.0734512       3.5469116       1.6017770
3.000       2.1362830       3.5116437       1.7344311
3.000       2.1991149       3.3202522       1.7888959
3.000       2.2619467       3.1696287       1.8583425
3.000       2.3247786       3.1080218       1.9783317
3.000       2.3876104       2.9252372       2.0170736
3.000       2.4504423       2.8172366       2.1000373
3.000       2.5132741       2.7405765       2.2041024
3.000       2.5761060       2.6410975       2.2874198
3.000       2.6389378       2.5279416       2.3535573
3.000       2.7017697       2.4381505       2.4359914
3.000       2.7646015       2.4193465       2.5897984
3.000       2.8274334       2.3038284       2.6381381
3.000       2.8902652       2.2606186       2.7650988
3.000       2.9530971       2.1592284       2.8170985
3.000       3.0159289       2.1375704       2.9706673
3.000       3.0787608       2.0379802       3.0129925
