# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       2597.9326   0.00051010287
3.000     0.031415927       2244.5552    0.0035257391
3.000     0.047123890       1500.0738    0.0079525479
3.000     0.062831853       960.43587     0.012069193
3.000     0.078539816       870.52093     0.021365798
3.000     0.094247780       641.81688     0.027220417
3.000      0.10995574       595.25949     0.040089472
3.000      0.12566371       456.95362     0.045937988
3.000      0.14137167       370.09980     0.052975646
3.000      0.15707963       302.70114     0.059435230
3.000      0.17278760       254.88544     0.066612078
3.000      0.18849556       247.63806     0.084021613
3.000      0.20420352       195.17157     0.084193102
3.000      0.21991149       169.90212     0.091540397
3.000      0.23561945       156.86952      0.10395425
3.000      0.25132741       142.84546      0.11488314
3.000      0.26703538       125.42234      0.12099058
3.000      0.28274334       111.74670      0.12796232
3.000      0.29845130       105.56388      0.14216937
3.000      0.31415927       97.080017      0.15249293
3.000      0.32986723       84.295481      0.15328232
3.000      0.34557519       78.033663      0.16314731
3.000      0.36128316       72.137194      0.17233467
3.000      0.37699112       67.997062      0.18456688
3.000      0.39269908       63.959774      0.19622613
3.000      0.40840704       58.410606      0.20157731
3.000      0.42411501       52.575920      0.20319268
3.000      0.43982297       50.292510      0.21677405
3.000      0.45553093       47.092616      0.22551566
3.000      0.47123890       44.199040      0.23431845
3.000      0.48694686       42.081994      0.24615649
3.000      0.50265482       40.029568      0.25754951
3.000      0.51836279       37.443425      0.26420880
3.000      0.53407075       34.860325      0.26902836
3.000      0.54977871       33.300041      0.28033595
3.000      0.56548668       31.195124      0.28577492
3.000      0.58119464       30.623746      0.30457439
3.000      0.59690260       28.792299      0.31021088
3.000      0.61261057       27.779401      0.32355387
3.000      0.62831853       26.303930      0.33054494
3.000      0.64402649       25.199981      0.34102143
3.000      0.65973446       24.367194      0.35447310
3.000      0.67544242       23.408976      0.36544133
3.000      0.69115038       22.508408      0.37647201
3.000      0.70685835       21.433040      0.38348750
3.000      0.72256631       20.231517      0.38666231
3.000      0.73827427       19.660715      0.40079543
3.000      0.75398224       19.348757      0.42015223
3.000      0.76969020       18.308022      0.42292129
3.000      0.78539816       17.477433      0.42896074
3.000      0.80110613       16.995791      0.44267175
3.000      0.81681409       16.501527      0.45557938
3.000      0.83252205       15.786247      0.46146247
3.000      0.84823002       15.198791      0.46991597
3.000      0.86393798       14.901033      0.48678182
3.000      0.87964594       14.700508      0.50690471
3.000      0.89535391       13.946442      0.50712833
3.000      0.91106187       13.407724      0.51365194
3.000      0.92676983       13.277813      0.53544205
3.000      0.94247780       12.599347      0.53435721
3.000      0.95818576       12.427938      0.55388357
3.000      0.97389372       12.098061      0.56613596
3.000      0.98960169       11.622121      0.57060677
3.000       1.0053096       11.357028      0.58456726
3.000       1.0367256       10.805946      0.60999248
3.000       1.0681415       10.258251      0.63332984
3.000       1.0995574       9.7021901      0.65342206
3.000       1.1309734       9.3475826      0.68505697
3.000       1.1623893       8.9549550      0.71250589
3.000       1.1938052       8.5444044      0.73646559
3.000       1.2252211       8.2650969      0.77012575
3.000       1.2566371       7.8406217      0.78822527
3.000       1.2880530       7.4816390      0.80996862
3.000       1.3194689       7.1607303      0.83334545
3.000       1.3508848       6.9470861      0.86761675
3.000       1.3823008       6.6854772      0.89456174
3.000       1.4137167       6.5026655      0.93078384
3.000       1.4451326       6.1908938      0.94655691
3.000       1.4765485       5.9988894      0.97832759
3.000       1.5079645       5.7582141       1.0003026
3.000       1.5393804       5.5416889       1.0241186
3.000       1.5707963       5.4356145       1.0672804
3.000       1.6022123       5.3053747       1.1054687
3.000       1.6336282       5.0837149       1.1228225
3.000       1.6650441       4.9550018       1.1587542
3.000       1.6964600       4.7944989       1.1858899
3.000       1.7278760       4.6710529       1.2207387
3.000       1.7592919       4.5225934       1.2475889
3.000       1.7907078       4.4162171       1.2846797
3.000       1.8221237       4.3001094       1.3179027
3.000       1.8535397       4.2245353       1.3628713
3.000       1.8849556       4.1297699       1.4011979
3.000       1.9163715       3.9742607       1.4169866
3.000       1.9477874       3.8851996       1.4544818
3.000       1.9792034       3.8003272       1.4926656
3.000       2.0106193       3.6954813       1.5217062
3.000       2.0734512       3.5148860       1.5873143
3.000       2.1362830       3.3483567       1.6537823
3.000       2.1991149       3.2563125       1.7544463
3.000       2.2619467       3.1349794       1.8380277
3.000       2.3247786       3.0462419       1.9390072
3.000       2.3876104       2.8250669       1.9480020
3.000       2.4504423       2.7866938       2.0772700
3.000       2.5132741       2.6727157       2.1495255
3.000       2.5761060       2.5451444       2.2043161
3.000       2.6389378       2.4736643       2.3030242
3.000       2.7017697       2.3922123       2.3900938
3.000       2.7646015       2.3036941       2.4659979
3.000       2.8274334       2.2627139       2.5910575
3.000       2.8902652       2.1644028       2.6474114
3.000       2.9530971       2.1175833       2.7627650
3.000       3.0159289       2.0587224       2.8610890
3.000       3.0787608       1.9995267       2.9561421
3.000       3.1415927       1.9227571       3.0202599
3.000       3.2044245       1.8673068       3.1126915
3.000       3.2672564       1.8548077       3.2773195
3.000       3.3300882       1.8104955       3.3871539
3.000       3.3929201       1.7644137       3.4913354
3.000       3.4557519       1.7123868       3.5801383
3.000       3.5185838       1.6755500       3.6976970
3.000       3.5814156       1.6110942       3.7493446
3.000       3.6442475       1.5933122       3.9065621
3.000       3.7070793       1.5464037       3.9910649
3.000       3.7699112       1.5114215       4.1025059
3.000       3.8327430       1.4874618       4.2427281
3.000       3.8955749       1.4456140       4.3294954
3.000       3.9584067       1.4018663       4.4049207
3.000       4.0212386       1.3806308       4.5480722
3.000       4.1469023       1.3224034       4.7775543
3.000       4.2725660       1.2488849       4.9346804
3.000       4.3982297       1.2164459       5.2432041
3.000       4.5238934       1.1659006       5.4685083
3.000       4.6495571       1.1359220       5.7843365
3.000       4.7752208       1.0846574       5.9833335
3.000       4.9008845       1.0440920       6.2263344
3.000       5.0265482       1.0194126       6.5588823
3.000       5.1522120      0.96981641       6.7195617
3.000       5.2778757      0.93627484       6.9735043
3.000       5.4035394      0.89330888       7.1401423
3.000       5.5292031      0.88687803       7.5948950
3.000       5.6548668      0.85784444       7.8586135
3.000       5.7805305      0.82429737       8.0659822
3.000       5.9061942      0.79951765       8.3449066
3.000       6.0318579      0.76420480       8.4963682
3.000       6.1575216      0.74074076       8.7610131
3.000       6.2831853      0.72028980       9.0514286
3.000       6.4088490      0.70216589       9.3637565
3.000       6.5345127      0.67701898       9.5699733
3.000       6.6601764      0.66380551       9.9350101
3.000       6.7858401      0.64460682       10.204131
3.000       6.9115038      0.62943729       10.527867
3.000       7.0371675      0.60380429       10.660072
3.000       7.1628313      0.58943680       10.973917
3.000       7.2884950      0.58302399       11.435898
3.000       7.4141587      0.56134780       11.590119
3.000       7.5398224      0.54567841       11.849237
3.000       7.6654861      0.53282560       12.158344
3.000       7.7911498      0.52915549       12.678218
3.000       7.9168135      0.50650543       12.732263
3.000       8.0424772      0.49560617       13.061001
3.000       8.2938046      0.46656766       13.484855
3.000       8.5451320      0.43857528       13.863431
3.000       8.7964594      0.42354159       14.604612
3.000       9.0477868      0.40932374       15.359047
3.000       9.2991143      0.38813788       15.811790
3.000       9.5504417      0.37551934       16.571924
3.000       9.8017691      0.35898581       17.126197
3.000       10.053096      0.34509226       17.762538
3.000       10.304424      0.32819114       18.191490
3.000       10.555751      0.32380096       19.293714
3.000       10.807079      0.30819661       19.707116
3.000       11.058406      0.29643950       20.308785
3.000       11.309734      0.28878328       21.164082
3.000       11.561061      0.27578310       21.588924
3.000       11.812388      0.26575013       22.189979
3.000       12.063716      0.26005011       23.129732
3.000       12.315043      0.25102162       23.751400
3.000       12.566371      0.24037719       24.165351
3.000       12.817698      0.23032606       24.572166
3.000       13.069025      0.22192963       25.096616
3.000       13.320353      0.22037410       26.386270
3.000       13.571680      0.20994146       26.586999
3.000       13.823008      0.20313643       27.181018
3.000       14.074335      0.19521561       27.572013
3.000       14.325663      0.18995599       28.292244
3.000       14.576990      0.18279741       28.684273
3.000       14.828317      0.18013232       29.753463
3.000       15.079645      0.17316773       30.082267
3.000       15.330972      0.16622135       30.343533
3.000       15.582300      0.16100307       30.860223
3.000       15.833627      0.15782650       31.738866
3.000       16.084954      0.15114574       31.865862
3.000       16.587609      0.14816687       34.258848
3.000       17.090264      0.13659550       34.542436
3.000       17.592919      0.12753456       35.181298
3.000       18.095574      0.12246977       36.763448
3.000       18.598229      0.11337803       36.949955
3.000       19.100883      0.11150583       39.366627
3.000       19.603538      0.10400972       39.696074
3.000       20.106193     0.098544429       40.578116
3.000       20.608848     0.093762830       41.577857
3.000       21.111503     0.086644569       41.301806
3.000       21.614157     0.083202871       42.562145
3.000       22.116812     0.081038815       44.415130
3.000       22.619467     0.076326920       44.750212
3.000       23.122122     0.073598681       46.091766
3.000       23.624777     0.070888754       47.353354
3.000       24.127432     0.069235495       49.264303
3.000       24.630086     0.066299171       50.185259
