# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.062831853       288.30101    0.0036228974
3.000      0.12566371       441.87540     0.044422160
3.000      0.18849556       166.65114     0.056543399
3.000      0.25132741       113.43171     0.091227191
3.000      0.31415927       71.328256      0.11204216
3.000      0.37699112       51.936072      0.14097195
3.000      0.43982297       37.742164      0.16267873
3.000      0.50265482       29.555904      0.19016215
3.000      0.56548668       22.288798      0.20418510
3.000      0.62831853       19.355655      0.24323033
3.000      0.69115038       16.470252      0.27547879
3.000      0.75398224       13.309751      0.28901710
3.000      0.81681409       11.843481      0.32697858
3.000      0.87964594       10.555421      0.36397329
3.000      0.94247780       9.1143558      0.38655351
3.000       1.0053096       8.2212346      0.42316219
3.000       1.0681415       7.1697033      0.44264729
3.000       1.1309734       6.5570292      0.48054548
3.000       1.1938052       6.0008231      0.51722736
3.000       1.2566371       5.4372133      0.54660830
3.000       1.3194689       5.0220074      0.58444695
3.000       1.3823008       4.5584154      0.60994659
3.000       1.4451326       4.1700923      0.63758639
3.000       1.5079645       3.9123177      0.67963807
3.000       1.5707963       3.6320906      0.71315933
3.000       1.6336282       3.3651251      0.74324351
3.000       1.6964600       3.1672771      0.78340659
3.000       1.7592919       3.0163295      0.83207552
3.000       1.8221237       2.7611264      0.84623338
3.000       1.8849556       2.6740552      0.90728556
3.000       1.9477874       2.5049143      0.93775160
3.000       2.0106193       2.3819360      0.98082130
3.000       2.0734512       2.2684225       1.0244143
3.000       2.1362830       2.1684436       1.0710130
3.000       2.1991149       2.0200104       1.0883476
3.000       2.2619467       1.9258155       1.1290991
3.000       2.3247786       1.9232614       1.2242028
3.000       2.3876104       1.8186166       1.2540123
3.000       2.4504423       1.7813975       1.3278974
3.000       2.5132741       1.6769860       1.3487122
3.000       2.5761060       1.6032697       1.3885707
3.000       2.6389378       1.5541147       1.4469077
3.000       2.7017697       1.5173032       1.5159595
3.000       2.7646015       1.4731547       1.5769439
3.000       2.8274334       1.4043248       1.6081071
3.000       2.8902652       1.3516740       1.6533139
3.000       2.9530971       1.2959475       1.6907946
3.000       3.0159289       1.2591107       1.7498366
3.000       3.0787608       1.2231793       1.8083739
3.000       3.1415927       1.1863772       1.8635569
3.000       3.2044245       1.1473946       1.9126399
3.000       3.2672564       1.1429832       2.0195738
3.000       3.3300882       1.0817753       2.0238323
3.000       3.3929201       1.0603184       2.0981060
3.000       3.4557519       1.0341419       2.1621115
3.000       3.5185838       1.0014315       2.2100150
3.000       3.5814156      0.96977966       2.2568750
3.000       3.6442475      0.95104902       2.3318293
3.000       3.7070793      0.93508581       2.4133336
3.000       3.7699112      0.89590563       2.4317889
3.000       3.8327430      0.89254294       2.5458247
3.000       3.8955749      0.85966690       2.5746318
3.000       3.9584067      0.84485530       2.6546902
3.000       4.0212386      0.82624654       2.7218202
3.000       4.1469023      0.80230461       2.8985511
3.000       4.2725660      0.74410738       2.9401685
3.000       4.3982297      0.72523703       3.1259639
3.000       4.5238934      0.71074690       3.3336679
3.000       4.6495571      0.66649432       3.3939190
3.000       4.7752208      0.64912086       3.5807682
3.000       4.9008845      0.61812153       3.6861037
3.000       5.0265482      0.59864075       3.8516437
3.000       5.1522120      0.57996156       4.0183766
3.000       5.2778757      0.55892996       4.1629876
3.000       5.4035394      0.53879716       4.3065601
3.000       5.5292031      0.52591081       4.5037054
3.000       5.6548668      0.49474895       4.5323378
3.000       5.7805305      0.48368272       4.7329718
3.000       5.9061942      0.46858456       4.8908169
3.000       6.0318579      0.46238800       5.1407930
3.000       6.1575216      0.44348993       5.2453184
3.000       6.2831853      0.42434955       5.3325337
3.000       6.4088490      0.41552686       5.5412722
3.000       6.5345127      0.40059600       5.6626079
3.000       6.6601764      0.39026482       5.8409954
3.000       6.7858401      0.37825601       5.9877956
3.000       6.9115038      0.36695217       6.1375831
3.000       7.0371675      0.35907040       6.3393325
3.000       7.1628313      0.35592500       6.6264804
3.000       7.2884950      0.33838387       6.6373312
3.000       7.4141587      0.33629016       6.9433658
3.000       7.5398224      0.32358901       7.0266345
3.000       7.6654861      0.31909424       7.2812899
3.000       7.7911498      0.30852238       7.3919937
3.000       7.9168135      0.29453885       7.4039603
3.000       8.0424772      0.29420374       7.7533245
3.000       8.2938046      0.27814438       8.0389986
3.000       8.5451320      0.26090131       8.2471302
3.000       8.7964594      0.25097886       8.6542834
3.000       9.0477868      0.24342375       9.1339848
3.000       9.2991143      0.23327012       9.5028555
3.000       9.5504417      0.22091071       9.7489400
3.000       9.8017691      0.21238245       10.132166
3.000       10.053096      0.19951952       10.269640
3.000       10.304424      0.19419966       10.764401
3.000       10.555751      0.18461305       11.000188
3.000       10.807079      0.17617818       11.265418
3.000       11.058406      0.17243043       11.813043
3.000       11.309734      0.16677897       12.222742
3.000       11.561061      0.15563287       12.183292
3.000       11.812388      0.15157642       12.656541
3.000       12.063716      0.14550155       12.941398
3.000       12.315043      0.13885450       13.138266
3.000       12.566371      0.13552900       13.624861
3.000       12.817698      0.13100384       13.976048
3.000       13.069025      0.12451716       14.080857
3.000       13.320353      0.12142699       14.538938
3.000       13.571680      0.11609464       14.702233
3.000       13.823008      0.11289748       15.106441
3.000       14.074335      0.10959484       15.479040
3.000       14.325663      0.10379339       15.459096
3.000       14.576990      0.10103356       15.854023
3.000       14.828317     0.098323430       16.240631
3.000       15.079645     0.094302586       16.382010
3.000       15.330972     0.091630650       16.727079
3.000       15.582300     0.087338124       16.740513
3.000       15.833627     0.086100904       17.314868
3.000       16.084954     0.081904193       17.267756
3.000       16.587609     0.075977298       17.567319
3.000       17.090264     0.072998944       18.460062
3.000       17.592919     0.068821850       18.984987
3.000       18.095574     0.063952236       19.197429
3.000       18.598229     0.061031754       19.890278
3.000       19.100883     0.059622372       21.049407
3.000       19.603538     0.055284200       21.099622
3.000       20.106193     0.052593693       21.656759
3.000       20.608848     0.049469833       21.936728
3.000       21.111503     0.047757691       22.765176
3.000       21.614157     0.044886600       22.961587
3.000       22.116812     0.043287129       23.724476
3.000       22.619467     0.040831989       23.939656
3.000       23.122122     0.038866395       24.340393
3.000       23.624777     0.037600972       25.117272
3.000       24.127432     0.036144081       25.718209
3.000       24.630086     0.034812324       26.351242
3.000       25.132741     0.032872365       26.437525
3.000       25.635396     0.031658578       27.019777
3.000       26.138051     0.029775262       26.936766
3.000       26.640706     0.029280501       28.046969
3.000       27.143361     0.027469052       27.829460
3.000       27.646015     0.026576471       28.448882
3.000       28.148670     0.025531688       28.848513
3.000       28.651325     0.024247863       28.892017
3.000       29.153980     0.023466528       29.458636
3.000       29.656635     0.022741875       30.051221
3.000       30.159289     0.021466906       29.833419
3.000       30.661944     0.020682316       30.204281
3.000       31.164599     0.019733958       30.260012
3.000       31.667254     0.018847906       30.322470
3.000       32.169909     0.018407502       31.046640
3.000       33.175218     0.016766399       31.013547
3.000       34.180528     0.016101530       32.574197
3.000       35.185838     0.014855262       32.783421
3.000       36.191147     0.013520496       32.469077
3.000       37.196457     0.012661732       33.011717
3.000       38.201767     0.011958224       33.774373
3.000       39.207076     0.011108383       33.916769
3.000       40.212386     0.010261560       33.803619
3.000       41.217696    0.0095573973       33.904787
3.000       42.223005    0.0093502842       35.656811
3.000       43.228315    0.0086866892       35.549170
3.000       44.233625    0.0080952558       35.494284
3.000       45.238934    0.0072798080       34.145013
3.000       46.244244    0.0071138839       35.641016
3.000       47.249554    0.0068892468       36.815875
3.000       48.254863    0.0064115107       36.496725
3.000       49.260173    0.0059903332       36.275135
3.000       50.265482    0.0057029903       36.692935
3.000       51.270792    0.0055094136       37.617135
3.000       52.276102    0.0052593221       38.063578
3.000       53.281411    0.0049199785       37.701673
3.000       54.286721    0.0045056472       36.518109
3.000       55.292031    0.0043217855       37.010170
3.000       56.297340    0.0042982715       38.853285
3.000       57.302650    0.0039214922       37.380554
3.000       58.307960    0.0036411379       36.567134
3.000       59.313269    0.0036058534       38.118334
3.000       60.318579    0.0035105698       39.030235
3.000       61.323889    0.0033074431       38.641297
3.000       62.329198    0.0030277907       37.142466
3.000       63.334508    0.0028940112       37.247031
3.000       64.339818    0.0027545092       37.166696
3.000       66.350437    0.0025284590       37.416016
3.000       68.361056    0.0022599877       36.576540
3.000       70.371675    0.0020835602       36.784934
3.000       72.382295    0.0017460389       33.544491
3.000       74.392914    0.0016951842       35.357525
3.000       76.403533    0.0016028215       36.215605
3.000       78.414153    0.0014832992       36.231171
3.000       80.424772    0.0012566947       33.118416
3.000       82.435391    0.0012219682       34.679376
3.000       84.446011    0.0010109034       30.840209
3.000       86.456630   0.00092084524       30.147535
3.000       88.467249   0.00090181043       31.632469
3.000       90.477868   0.00080201487       30.093989
3.000       92.488488   0.00071772829       28.766920
3.000       94.499107   0.00076578891       32.738776
3.000       96.509726   0.00065164119       29.675090
3.000       98.520346   0.00048503286       23.497367
3.000       100.53096   0.00061109683       31.454287
3.000       102.54158   0.00053794891       29.384030
3.000       104.55220   0.00053558203       31.009576
3.000       106.56282   0.00058311230       35.747001
3.000       108.57344   0.00048934933       31.729269
3.000       110.58406   0.00044876925       30.744750
3.000       112.59468   0.00041413392       29.947784
3.000       114.60530   0.00056522096       43.102516
3.000       116.61592   0.00041624475       33.442023
3.000       118.62654   0.00034690676       29.337871
3.000       120.63716   0.00024897818       22.144957
3.000       122.64778   0.00033155807       30.989096
3.000       124.65840   0.00024389405       23.935146
3.000       126.66902   0.00029306213       30.174574
3.000       128.67964   0.00029805759       32.173618
3.000       132.70087   0.00027988209       33.133455
3.000       136.72211   0.00012645920       16.373328
3.000       140.74335   0.00033295729       47.026477
3.000       144.76459   0.00013696571       21.050827
3.000       148.78583   0.00022062812       36.814239
3.000       152.80707   4.1353013e-05       7.4749404
3.000       156.82831   0.00014991195       29.294080
3.000       160.84954   6.1101828e-05       12.882020
3.000       164.87078   0.00016367181       37.159961
3.000       168.89202  -6.8543805e-05      -16.728841
3.000       172.91326   5.3877033e-06       1.4111034
3.000       176.93450  -1.3876773e-05      -3.8940030
3.000       180.95574  -3.1671079e-05      -9.5071465
3.000       184.97698   4.8493057e-05       15.549014
3.000       188.99821   0.00026335748       90.071836
3.000       193.01945   4.8609335e-05       17.708965
3.000       197.04069  -1.4062682e-05      -5.4501215
3.000       201.06193   0.00012945032       53.304386
3.000       205.08317   7.1936833e-05       31.434867
3.000       209.10441   0.00013239474       61.324008
3.000       213.12565   5.5853481e-05       27.392246
3.000       217.14688  -5.8145636e-06      -3.0161171
3.000       221.16812   3.9992315e-05       21.918680
3.000       225.18936   9.8018379e-06       5.6705004
3.000       229.21060  -3.5458913e-05      -21.632154
3.000       233.23184   6.4717048e-05       41.596086
3.000       237.25308   1.9212987e-05       12.998723
3.000       241.27432   4.6561208e-05       33.130484
3.000       245.29555  -2.5639680e-05      -19.171314
3.000       249.31679   1.7403905e-05       13.663802
3.000       253.33803   7.8162309e-05       64.382645
3.000       257.35927  -1.8088374e-05      -15.620295
3.000       265.40175   0.00019700377       186.57615
3.000       273.44422   0.00013983550       144.84181
3.000       281.48670  -0.00017304065      -195.52038
3.000       289.52918   9.1334661e-06       11.230081
3.000       297.57166   0.00014235620       190.02963
3.000       305.61413  -5.9384015e-05      -85.873689
3.000       313.65661  -1.6333878e-05      -25.534238
3.000       321.69909  -4.1966611e-05      -70.782134
3.000       329.74156   0.00010540494       191.44865
3.000       337.78404  -2.0556051e-05      -40.135375
3.000       345.82652   3.3664697e-05       70.537466
3.000       353.86900   5.4074973e-05       121.39313
3.000       361.91147  -1.9775660e-05      -47.490671
3.000       369.95395   0.00011733056       300.97083
3.000       377.99643   2.9445983e-05       80.567412
3.000       386.03891  -9.3718957e-05      -273.14354
3.000       394.08138  -5.7664825e-05      -178.78826
3.000       402.12386   1.5938527e-05       52.504674
3.000       410.16634   5.9284450e-05       207.24836
3.000       418.20881   7.1833232e-05       266.17987
3.000       426.25129  -7.1793346e-06      -28.167712
3.000       434.29377   1.3901396e-05       57.687203
3.000       442.33625   2.3299235e-05       102.15732
3.000       450.37872  -6.8127004e-05      -315.29940
3.000       458.42120   4.8567088e-05       237.03169
3.000       466.46368  -8.8554739e-06      -45.533974
3.000       474.50615   3.8007335e-05       205.71370
3.000       482.54863  -7.6001967e-05      -432.63172
3.000       490.59111  -5.2101854e-05      -311.66100
3.000       498.63359  -2.0514291e-05      -128.84612
3.000       506.67606  -4.2381311e-05      -279.27741
3.000       514.71854  -5.2605597e-05      -363.42236
2.750     0.062831853       326.45942    0.0041024100
2.750      0.12566371       501.12255     0.050378333
2.750      0.18849556       188.96145     0.064113108
2.750      0.25132741       129.55269      0.10419245
2.750      0.31415927       81.872488      0.12860500
2.750      0.37699112       59.737595      0.16214791
2.750      0.43982297       43.528193      0.18761805
2.750      0.50265482       34.123062      0.21954716
2.750      0.56548668       25.977741      0.23797908
2.750      0.62831853       22.664941      0.28481605
2.750      0.69115038       19.391730      0.32434295
2.750      0.75398224       15.599314      0.33873425
2.750      0.81681409       14.003848      0.38662265
2.750      0.87964594       12.449271      0.42927728
2.750      0.94247780       10.845321      0.45996633
2.750       1.0053096       9.7775913      0.50327075
2.750       1.0681415       8.5858620      0.53007892
2.750       1.1309734       7.8428013      0.57477596
2.750       1.1938052       7.2424147      0.62424353
2.750       1.2566371       6.5675327      0.66024040
2.750       1.3194689       6.0857173      0.70823849
2.750       1.3823008       5.5798759      0.74662486
2.750       1.4451326       5.0929727      0.77869022
2.750       1.5079645       4.7855516      0.83133410
2.750       1.5707963       4.4724842      0.87817022
2.750       1.6336282       4.1471538      0.91596747
2.750       1.6964600       3.9231047      0.97035590
2.750       1.7592919       3.7645192       1.0384689
2.750       1.8221237       3.4336191       1.0523397
2.750       1.8849556       3.3291611       1.1295578
2.750       1.9477874       3.1285872       1.1712328
2.750       2.0106193       2.9937540       1.2327526
2.750       2.0734512       2.8354359       1.2804762
2.750       2.1362830       2.7327685       1.3497379
2.750       2.1991149       2.5419334       1.3695509
2.750       2.2619467       2.4261410       1.4224382
2.750       2.3247786       2.4296388       1.5465243
2.750       2.3876104       2.2983653       1.5848192
2.750       2.4504423       2.2610712       1.6854580
2.750       2.5132741       2.1257509       1.7096303
2.750       2.5761060       2.0491097       1.7747069
2.750       2.6389378       1.9692248       1.8333823
2.750       2.7017697       1.9350104       1.9332968
2.750       2.7646015       1.8930684       2.0264421
2.750       2.8274334       1.8063615       2.0684836
2.750       2.8902652       1.7429856       2.1319507
2.750       2.9530971       1.6702318       2.1791151
2.750       3.0159289       1.6255986       2.2591596
2.750       3.0787608       1.5773312       2.3319594
2.750       3.1415927       1.5376502       2.4153353
2.750       3.2044245       1.4856174       2.4764375
2.750       3.2672564       1.4786174       2.6126168
2.750       3.3300882       1.4008465       2.6207646
2.750       3.3929201       1.3707018       2.7122776
2.750       3.4557519       1.3359950       2.7932048
2.750       3.5185838       1.3031849       2.8759410
2.750       3.5814156       1.2620012       2.9369341
2.750       3.6442475       1.2417990       3.0447045
2.750       3.7070793       1.2205633       3.1501135
2.750       3.7699112       1.1665231       3.1663358
2.750       3.8327430       1.1650802       3.3231901
2.750       3.8955749       1.1233039       3.3642032
2.750       3.9584067       1.1009081       3.4592549
2.750       4.0212386       1.0886020       3.5860713
2.750       4.1469023       1.0461445       3.7794912
2.750       4.2725660      0.97978912       3.8714104
2.750       4.3982297      0.95349860       4.1098317
2.750       4.5238934      0.93384271       4.3800703
2.750       4.6495571      0.87912670       4.4766846
2.750       4.7752208      0.85657708       4.7251662
2.750       4.9008845      0.81571321       4.8644212
2.750       5.0265482      0.79162914       5.0933274
2.750       5.1522120      0.75502729       5.2313536
2.750       5.2778757      0.73945070       5.5075310
2.750       5.4035394      0.70825825       5.6610483
2.750       5.5292031      0.69568030       5.9575485
2.750       5.6548668      0.66533115       6.0950216
2.750       5.7805305      0.65450803       6.4045456
2.750       5.9061942      0.62308628       6.5034172
2.750       6.0318579      0.61015390       6.7836425
2.750       6.1575216      0.58973850       6.9750540
2.750       6.2831853      0.56335753       7.0793596
2.750       6.4088490      0.55665313       7.4232663
2.750       6.5345127      0.53666852       7.5860553
2.750       6.6601764      0.52114854       7.7998991
2.750       6.7858401      0.50262929       7.9566256
2.750       6.9115038      0.48910986       8.1807729
2.750       7.0371675      0.47813011       8.4413134
2.750       7.1628313      0.46332224       8.6259626
2.750       7.2884950      0.45347333       8.8947877
2.750       7.4141587      0.44448076       9.1771715
2.750       7.5398224      0.42999225       9.3371477
2.750       7.6654861      0.42428304       9.6815531
2.750       7.7911498      0.41306081       9.8966660
2.750       7.9168135      0.40024493       10.061143
2.750       8.0424772      0.39125148       10.310881
2.750       8.2938046      0.37308301       10.782939
2.750       8.5451320      0.35114266       11.099673
2.750       8.7964594      0.32919984       11.351509
2.750       9.0477868      0.32189847       12.078590
2.750       9.2991143      0.30898492       12.587292
2.750       9.5504417      0.29476751       13.008291
2.750       9.8017691      0.27786518       13.256162
2.750       10.053096      0.26780236       13.784284
2.750       10.304424      0.25624947       14.203795
2.750       10.555751      0.24230098       14.437530
2.750       10.807079      0.23406273       14.966749
2.750       11.058406      0.22642155       15.511923
2.750       11.309734      0.21722624       15.919875
2.750       11.561061      0.20763065       16.253796
2.750       11.812388      0.19991199       16.692533
2.750       12.063716      0.19130503       17.015312
2.750       12.315043      0.18467623       17.473869
2.750       12.566371      0.17827053       17.921708
2.750       12.817698      0.17158434       18.305349
2.750       13.069025      0.16574430       18.742972
2.750       13.320353      0.15919278       19.060786
2.750       13.571680      0.15425949       19.535432
2.750       13.823008      0.14869367       19.896212
2.750       14.074335      0.14427670       20.377463
