# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       932.51670   0.00018309923
3.000     0.031415927       2389.2287    0.0037529917
3.000     0.047123890       1272.2933    0.0067449835
3.000     0.062831853       1015.2095     0.012757499
3.000     0.078539816       770.04111     0.018899652
3.000     0.094247780       630.07321     0.026722351
3.000      0.10995574       515.73319     0.034733543
3.000      0.12566371       443.82976     0.044618634
3.000      0.14137167       321.88674     0.046074487
3.000      0.15707963       291.07426     0.057152298
3.000      0.17278760       252.05895     0.065873397
3.000      0.18849556       223.61928     0.075872233
3.000      0.20420352       198.08712     0.085450808
3.000      0.21991149       179.30317     0.096605523
3.000      0.23561945       155.81404      0.10325480
3.000      0.25132741       141.93225      0.11414869
3.000      0.26703538       122.72966      0.11839305
3.000      0.28274334       111.17156      0.12730372
3.000      0.29845130       99.698347      0.13426990
3.000      0.31415927       89.601837      0.14074624
3.000      0.32986723       82.338386      0.14972355
3.000      0.34557519       74.532894      0.15582815
3.000      0.36128316       70.355209      0.16807753
3.000      0.37699112       63.552250      0.17250216
3.000      0.39269908       59.451976      0.18239638
3.000      0.40840704       56.432946      0.19475233
3.000      0.42411501       52.221069      0.20182127
3.000      0.43982297       49.234718      0.21221469
3.000      0.45553093       45.538088      0.21807138
3.000      0.47123890       43.151865      0.22876692
3.000      0.48694686       39.660670      0.23199307
3.000      0.50265482       38.041757      0.24475997
3.000      0.51836279       35.699869      0.25190590
3.000      0.53407075       33.992687      0.26233252
3.000      0.54977871       32.343453      0.27228293
3.000      0.56548668       31.114584      0.28503710
3.000      0.58119464       29.073634      0.28915744
3.000      0.59690260       27.615098      0.29752761
3.000      0.61261057       26.356053      0.30697576
3.000      0.62831853       25.058936      0.31489988
3.000      0.64402649       23.907960      0.32353701
3.000      0.65973446       22.594439      0.32868457
3.000      0.67544242       22.092738      0.34489333
3.000      0.69115038       21.191863      0.35445170
3.000      0.70685835       20.624772      0.36902568
3.000      0.72256631       19.229620      0.36751417
3.000      0.73827427       18.897858      0.38524414
3.000      0.75398224       18.103734      0.39311694
3.000      0.76969020       17.641560      0.40752581
3.000      0.78539816       16.854153      0.41366314
3.000      0.80110613       16.268276      0.42372292
3.000      0.81681409       15.712192      0.43378718
3.000      0.83252205       15.099240      0.44137994
3.000      0.84823002       14.674707      0.45371235
