# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       1122.6349   0.00022042884
3.000     0.031415927       2715.4613    0.0042654366
3.000     0.047123890       1401.4062    0.0074294674
3.000     0.062831853       1095.6162     0.013767919
3.000     0.078539816       813.91742     0.019976539
3.000     0.094247780       657.08739     0.027868062
3.000      0.10995574       531.16058     0.035772545
3.000      0.12566371       452.57027     0.045497326
3.000      0.14137167       326.53779     0.046740233
3.000      0.15707963       293.16717     0.057563239
3.000      0.17278760       252.43411     0.065971444
3.000      0.18849556       222.87894     0.075621041
3.000      0.20420352       196.40564     0.084725456
3.000      0.21991149       177.38924     0.095574331
3.000      0.23561945       153.50057      0.10172171
3.000      0.25132741       139.54755      0.11223080
3.000      0.26703538       120.30841      0.11605735
3.000      0.28274334       108.84861      0.12464369
3.000      0.29845130       97.333843      0.13108547
3.000      0.31415927       87.280928      0.13710056
3.000      0.32986723       80.017842      0.14550389
3.000      0.34557519       72.275885      0.15110936
3.000      0.36128316       68.180746      0.16288277
3.000      0.37699112       61.418774      0.16671119
3.000      0.39269908       57.371632      0.17601396
3.000      0.40840704       54.349463      0.18756214
3.000      0.42411501       50.236792      0.19415254
3.000      0.43982297       47.247287      0.20364833
3.000      0.45553093       43.778129      0.20964335
3.000      0.47123890       41.375280      0.21934846
3.000      0.48694686       37.972362      0.22211740
3.000      0.50265482       36.369158      0.23399850
3.000      0.51836279       34.105152      0.24065323
3.000      0.53407075       32.414780      0.25015531
3.000      0.54977871       30.837056      0.25960134
3.000      0.56548668       29.593116      0.27109911
3.000      0.58119464       27.665756      0.27515512
3.000      0.59690260       26.225463      0.28255555
3.000      0.61261057       24.978347      0.29092927
3.000      0.62831853       23.758113      0.29855325
3.000      0.64402649       22.646400      0.30646483
3.000      0.65973446       21.355706      0.31066455
3.000      0.67544242       20.863139      0.32569786
3.000      0.69115038       19.984872      0.33426376
3.000      0.70685835       19.436495      0.34776460
3.000      0.72256631       18.119771      0.34630287
3.000      0.73827427       17.784107      0.36253967
3.000      0.75398224       17.031663      0.36983726
3.000      0.76969020       16.553729      0.38239657
3.000      0.78539816       15.819550      0.38827017
3.000      0.80110613       15.232268      0.39673908
3.000      0.81681409       14.720808      0.40641673
3.000      0.83252205       14.115747      0.41263054
3.000      0.84823002       13.700470      0.42359092
3.000      0.86393798       13.208111      0.43147800
3.000      0.87964594       12.754262      0.43979402
3.000      0.89535391       12.365311      0.44963436
3.000      0.91106187       12.095101      0.46336516
3.000      0.92676983       11.564585      0.46635429
3.000      0.94247780       11.159270      0.47328139
3.000      0.95818576       10.847317      0.48343905
3.000      0.97389372       10.684430      0.49998423
3.000      0.98960169       10.342397      0.50777665
3.000       1.0053096       10.005714      0.51501263
3.000       1.0367256       9.6699502      0.54586586
3.000       1.0681415       8.8416804      0.54587278
3.000       1.0995574       8.5709595      0.57723606
3.000       1.1309734       7.9419305      0.58204084
3.000       1.1623893       7.6083301      0.60536094
3.000       1.1938052       7.3720794      0.63541969
3.000       1.2252211       7.0587415      0.65771989
3.000       1.2566371       6.7698204      0.68057657
3.000       1.2880530       6.4135437      0.69433571
3.000       1.3194689       6.1295799      0.71334310
3.000       1.3508848       5.9513802      0.74326373
3.000       1.3823008       5.7159884      0.76483762
3.000       1.4137167       5.5747531      0.79796355
3.000       1.4451326       5.2489695      0.80254136
3.000       1.4765485       5.0366945      0.82140824
3.000       1.5079645       4.9684797      0.86311191
3.000       1.5393804       4.7464043      0.87714794
3.000       1.5707963       4.6177629      0.90669563
3.000       1.6022123       4.3968321      0.91615780
3.000       1.6336282       4.2335590      0.93505148
3.000       1.6650441       4.1111543      0.96141582
3.000       1.6964600       4.0436332       1.0001679
3.000       1.7278760       3.9474551       1.0316328
3.000       1.7592919       3.7644243       1.0384427
3.000       1.7907078       3.7173694       1.0813846
3.000       1.8221237       3.5859841       1.0990368
3.000       1.8535397       3.4936018       1.1270659
3.000       1.8849556       3.3938967       1.1515220
