# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.062831853       288.45308    0.0036248083
3.000      0.12566371       442.08921     0.044443655
3.000      0.18849556       166.71696     0.056565733
3.000      0.25132741       113.44886     0.091240984
3.000      0.31415927       71.322298      0.11203280
3.000      0.37699112       51.918095      0.14092316
3.000      0.43982297       37.709832      0.16253937
3.000      0.50265482       29.514495      0.18989572
3.000      0.56548668       22.243894      0.20377373
3.000      0.62831853       19.303265      0.24257198
3.000      0.69115038       16.411803      0.27450118
3.000      0.75398224       13.253054      0.28778593
3.000      0.81681409       11.782111      0.32528424
3.000      0.87964594       10.493524      0.36183896
3.000      0.94247780       9.0509777      0.38386555
3.000       1.0053096       8.1521852      0.41960809
3.000       1.0681415       7.1009977      0.43840551
3.000       1.1309734       6.4850500      0.47527034
3.000       1.1938052       5.9283651      0.51098201
3.000       1.2566371       5.3628088      0.53912835
3.000       1.3194689       4.9457505      0.57557238
3.000       1.3823008       4.4824392      0.59978046
3.000       1.4451326       4.0940802      0.62596453
3.000       1.5079645       3.8355039      0.66629417
3.000       1.5707963       3.5563710      0.69829182
3.000       1.6336282       3.2873413      0.72606366
3.000       1.6964600       3.0881642      0.76383848
3.000       1.7592919       2.9357957      0.80985971
3.000       1.8221237       2.6825206      0.82214218
3.000       1.8849556       2.5927611      0.87970313
3.000       1.9477874       2.4264035      0.90835995
3.000       2.0106193       2.3029574      0.94829991
3.000       2.0734512       2.1895847      0.98881134
3.000       2.1362830       2.0879217       1.0312426
3.000       2.1991149       1.9428843       1.0467933
3.000       2.2619467       1.8482945       1.0836487
3.000       2.3247786       1.8416560       1.1722589
3.000       2.3876104       1.7403376       1.2000357
3.000       2.4504423       1.6993810       1.2667603
3.000       2.5132741       1.5985695       1.2856459
3.000       2.5761060       1.5252154       1.3209690
3.000       2.6389378       1.4768064       1.3749323
3.000       2.7017697       1.4396675       1.4383926
3.000       2.7646015       1.3949778       1.4932591
3.000       2.8274334       1.3278305       1.5205127
3.000       2.8902652       1.2756327       1.5603033
3.000       2.9530971       1.2220939       1.5944393
